id	trait	rg	p	qvalue	gcov_int	subcategory
ieu-b-113	Fasting glucose	0.0549	0.0589	0.03232762944437841	-0.0042	Glycemic
ieu-b-106	FEV1/FVC < 0.7	0.0543	0.0035	0.002504080248907509	0.0068	NA
ebi-a-GCST005186	Fasting blood glucose	0.0535	0.0624	0.03402947496697165	-0.004	NA
ebi-a-GCST004620	Sum basophil neutrophil counts	0.0514	0.0012	9.748026683247086e-4	-0.0058	NA
ebi-a-GCST004629	Neutrophil count	0.051	0.0012	9.748026683247086e-4	-0.006	NA
ebi-a-GCST004623	Neutrophil percentage of granulocytes	0.0507	0.0029	0.0021335303684087963	-0.0101	NA
ebi-a-GCST004628	Immature fraction of reticulocytes	0.0494	0.0053	0.0035630718221523836	0.0052	NA
ieu-a-980	Femoral neck bone mineral density	-0.0493	0.0797	0.04251397897807775	2e-4	Bone
ebi-a-GCST004626	Myeloid white cell count	0.0492	0.0017	0.001325731628921604	-0.0058	NA
ebi-a-GCST004601	Red blood cell count	-0.049	7e-4	5.998785651228977e-4	-9e-4	NA
ebi-a-GCST004617	Eosinophil percentage of granulocytes	-0.049	0.0034	0.002443744938104339	0.0085	NA
ebi-a-GCST004612	High light scatter reticulocyte percentage of red cells	0.0489	0.0012	9.748026683247086e-4	0.0038	NA
ebi-a-GCST004625	Monocyte count	0.0485	0.0031	0.0022593557172385773	-0.0141	NA
ieu-a-89	Height	-0.0482	7e-4	5.998785651228977e-4	-0.0094	Anthropometric
ieu-a-1283	Alcohol consumption	-0.048	0.0715	0.038539140106644956	-0.0187	Behavioural
ebi-a-GCST004614	Granulocyte count	0.0466	0.0032	0.0023213905403825625	-0.0043	NA
ebi-a-GCST004613	Sum neutrophil eosinophil counts	0.0462	0.0034	0.002443744938104339	-0.0045	NA
ieu-a-67	Waist circumference	0.0458	0.0225	0.013506196090084365	-0.0044	Anthropometric
ebi-a-GCST006804	Red cell distribution width	0.0455	0.0093	0.005944698239619535	0.0051	NA
ebi-a-GCST004600	Eosinophil percentage of white cells	-0.045	0.0066	0.0043251748644995485	0.0085	NA
ieu-a-66	Waist circumference	0.0443	0.026	0.015380553657388316	-0.0039	Anthropometric
ebi-a-GCST004610	White blood cell count	0.044	0.0044	0.0030466640554965376	-0.0037	NA
ebi-a-GCST90002412	Low density lipoprotein cholesterol levels	0.0433	9e-4	7.546859367675165e-4	0.0117	NA
ebi-a-GCST004619	Reticulocyte fraction of red cells	0.0433	0.003	0.0021967384074923013	0.0017	NA
ebi-a-GCST006586	Urinary albumin excretion	0.0424	0.0314	0.018167989262836397	0.0027	NA
ebi-a-GCST90002350	Neutrophil count	0.0413	0.0179	0.010961845664527174	-0.0046	NA
ieu-a-1127	ER+ Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	0.0412	0.028	0.016427378691786794	0.0082	Cancer
ebi-a-GCST006097	Moderate to vigorous physical activity levels	-0.0408	0.0588	0.03227868313896079	-0.0073	NA
ebi-a-GCST004611	High light scatter reticulocyte count	0.0407	0.0079	0.005091531292406744	0.0035	NA
ieu-b-39	diastolic blood pressure	0.0376	0.0042	0.0029276754999517517	-0.0181	Blood pressure
ebi-a-GCST004630	Mean corpuscular hemoglobin	0.0375	0.0109	0.006907052492788295	-0.0053	NA
ebi-a-GCST004904	Body mass index	0.0374	0.0318	0.01836961472754118	0.0059	NA
ebi-a-GCST009760	Snoring	0.0373	0.0389	0.022166227770450048	0.0071	NA
ebi-a-GCST009761	Snoring	-0.037	0.0474	0.02657818097175414	0.0031	NA
ebi-a-GCST007430	Peak expiratory flow	-0.0368	0.019	0.011575781686355917	-0.0126	NA
ebi-a-GCST004604	Hematocrit	-0.0345	0.0433	0.024467800889924184	-0.001	NA
ebi-a-GCST004602	Mean corpuscular volume	0.0335	0.0171	0.010511354513878766	9e-4	NA
ebi-a-GCST004622	Reticulocyte count	0.0323	0.0289	0.016892850175870527	7e-4	NA
ebi-a-GCST90002323	Mean corpuscular hemoglobin	0.0309	0.091	0.047858459015784456	-0.0112	NA
ebi-a-GCST004624	Sum eosinophil basophil counts	-0.0305	0.0511	0.028454938915435928	0.0099	NA
ebi-a-GCST004606	Eosinophil counts	-0.0303	0.0493	0.027545170861742716	0.0074	NA
ebi-a-GCST004633	Neutrophil percentage of white cells	0.0295	0.0851	0.04508688628861721	-0.0046	NA
