ENSID	Gene	Nearest_gene	Fine_mapping	Expression	Protein	fastBAT	HMAGMA	PsyOPS	Chrom_b37	pos_start_b37	pos_end_b37	Chrom_b38	pos_start_b38	pos_end_b38
ENSG00000234481	RP4-614N24.1	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	1	37238741	37241369	chr1	36769812	36775768
ENSG00000163873	GRIK3	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	1	37261128	37499730	chr1	36795527	37034515
ENSG00000207328	RNU6-636P	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	1	37669211	37669317	chr1	37203610	37203716
ENSG00000223944	RP5-1180C18.1	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	1	37728340	37790701	chr1	37154761	37325100
ENSG00000252368	RNA5SP43	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	37730278	37730387	chr1	37264677	37264786
ENSG00000230451	RPS29P6	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	37796453	37796597	chr1	37330852	37330996
ENSG00000233621	ZC3H12A-DT	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	1	37920480	37940012	chr1	37350934	37474432
ENSG00000116922	C1orf109	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	1	38147242	38157914	chr1	37681570	37692249
ENSG00000183317	EPHA10	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	38179552	38230805	chr1	37713880	37765133
ENSG00000188786	MTF1	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	38275239	38325292	chr1	37809574	37859592
ENSG00000235673	RP11-109P14.8	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	38306658	38307348	chr1	37840986	37841676
ENSG00000204084	INPP5B	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	38326369	38412729	chr1	37860697	37947057
ENSG00000183431	SF3A3	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	1	38422647	38456593	chr1	37956975	37990075
ENSG00000212541	RNU6-510P	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	38457134	38457241	chr1	37991462	37991569
ENSG00000233910	GTF2F2P2	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	41059305	41060025	chr1	40593633	40594353
ENSG00000117016	RIMS3	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	1	41086351	41131329	chr1	40620680	40665682
ENSG00000237899	RP4-739H11.3	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	41134761	41153260	chr1	40669089	40687588
ENSG00000272145	NFYC-AS1	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	41156052	41157738	chr1	40690380	40692074
ENSG00000066136	NFYC	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	41157320	41237275	chr1	40691648	40771603
ENSG00000207962	MIR30C1	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	41222956	41223044	chr1	40757284	40757372
ENSG00000117013	KCNQ4	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	41249684	41306124	chr1	40783787	40840452
ENSG00000264582	RN7SL326P	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	1	41270518	41270811	chr1	40804846	40805141
ENSG00000162366	PDZK1IP1	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	47649265	47656716	chr1	47183582	47191044
ENSG00000162367	TAL1	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	47681962	47697892	chr1	47216290	47232225
ENSG00000226252	RP1-18D14.7	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	47691469	47696422	chr1	47225797	47230750
ENSG00000123473	STIL	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	47715811	47779819	chr1	47250139	47314892
ENSG00000132122	SPATA6	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	1	48761044	48937845	chr1	48295373	48472208
ENSG00000186094	AGBL4	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	1	48998527	50489585	chr1	48532854	50023954
ENSG00000229846	RP11-141A19.1	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	49513988	49653257	chr1	49025595	49187585
ENSG00000230114	AGBL4-AS1	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	1	49723083	49734957	chr1	49257411	49269285
ENSG00000225623	AGBL4-IT1	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	49839873	49937757	chr1	49374201	49472085
ENSG00000237478	RP5-926E3.1	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	50156934	50157195	chr1	49691262	49691523
ENSG00000215887	ZNF859P	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	50307493	50312072	chr1	49841821	49846400
ENSG00000227839	AL645730.2	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	1	50459990	50461874	chrNA		
ENSG00000233595	MTND2P29	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	1	50482764	50483175	chr1	50017092	50017503
ENSG00000162374	ELAVL4	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	1	50513686	50669458	chr1	50024029	50203772
ENSG00000230828	RP11-492I2.1	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	1	50580609	50580954	chr1	50114937	50115282
ENSG00000237337	ELAVL4-AS1	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	50639978	50641540	chr1	50174306	50175868
ENSG00000234080	RP11-183G22.1	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	50791803	50792682	chr1	50326131	50327007
ENSG00000229316	HMGB1P45	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	50864497	50865445	chr1	50398825	50399773
ENSG00000225671	FCF1P6	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	50871102	50871696	chr1	50405430	50406024
ENSG00000142700	DMRTA2	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	50883222	50889172	chr1	50417550	50423443
ENSG00000185104	FAF1	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	50905150	51425935	chr1	50437028	50960267
ENSG00000225767	FAF1-AS1	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	1	50927141	50936822	chr1	50461469	50471150
ENSG00000207194	RNU6-1026P	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	51048076	51048183	chr1	50582404	50582511
ENSG00000123080	CDKN2C	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	51426417	51440305	chr1	50960745	50974634
ENSG00000265538	MIR4421	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	51525509	51525577	chr1	51059837	51059905
ENSG00000204006	C1orf185	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	51567906	51613752	chr1	51102221	51148086
ENSG00000213478	CFL1P2	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	51623460	51624143	chr1	51157788	51158471
ENSG00000085832	EPS15	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	1	51819935	51985000	chr1	51354263	51519328
ENSG00000206595	RNU6-877P	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	51847980	51848086	chr1	51382308	51382414
ENSG00000227070	EPS15-AS1	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	51983981	52027301	chr1	51518288	51561651
ENSG00000227742	CALR4P	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	52027538	52060569	chr1	51561866	51594897
ENSG00000117859	OSBPL9	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	52042851	52254889	chr1	51577179	51798427
ENSG00000236973	GAPDHP51	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	52172810	52173809	chr1	51707138	51708137
ENSG00000232846	SLC25A6P3	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	52174734	52175612	chr1	51709062	51709940
ENSG00000078618	NRDC	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	1	52254863	52344477	chr1	51789191	51878805
ENSG00000266993	RP4-657D16.3	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	52259637	52264824	chr1	51793934	51799154
ENSG00000272175	RP4-657D16.6	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	52266700	52266979	chr1	51801028	51801307
ENSG00000230604	TSEN15P2	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	52325450	52325807	chr1	51859778	51860135
ENSG00000169213	RAB3B	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	1	52373628	52456436	chr1	51907956	51990700
ENSG00000162599	NFIA	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	1	61330931	61928465	chr1	60865259	61462788
ENSG00000237853	NFIA-AS1	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	61714617	61719182	chr1	61248945	61253510
ENSG00000116678	LEPR	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	1	65886248	66107242	chr1	65420652	65641559
ENSG00000184588	PDE4B	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	1	66258197	66840259	chr1	65792514	66374579
ENSG00000227466	PDE4B-AS1	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	66508183	66516401	chr1	66042500	66050718
ENSG00000223152	RNU4-88P	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	1	66560144	66560229	chr1	66094461	66094546
ENSG00000118473	SGIP1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	1	66999066	67213982	chr1	66533267	66751139
ENSG00000198160	MIER1	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	1	67390578	67454302	chr1	66924895	66988619
ENSG00000116704	SLC35D1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	1	67465015	67519782	chr1	66999350	67054148
ENSG00000050628	PTGER3	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	71318036	71513491	chr1	70852353	71047816
ENSG00000235079	ZRANB2-AS1	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	71514538	71532867	chr1	71048855	71067184
ENSG00000132485	ZRANB2	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	71528974	71546980	chr1	71063291	71081289
ENSG00000207721	MIR186	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	71533314	71533399	chr1	71067631	71067716
ENSG00000229956	ZRANB2-DT	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	1	71547007	71955652	chr1	71081324	71489976
ENSG00000226324	RP11-115M14.1	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	71832737	71832986	chr1	71367054	71367303
ENSG00000172260	NEGR1	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	1	71861623	72748417	chr1	71395943	72282539
ENSG00000271618	RP11-175G14.2	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	1	72203856	72204037	chr1	71738173	71738354
ENSG00000228853	NEGR1-IT1	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	72259915	72302695	chr1	71794232	71837012
ENSG00000233994	GDI2P2	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	1	72740235	72740842	chr1	72274552	72275159
ENSG00000227207	RPL31P12	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	1	72767155	72767512	chr1	72301472	72301829
ENSG00000212366	RNU6-1246P	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	73183346	73183452	chr1	72717663	72717769
ENSG00000225087	RP4-660H19.1	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	1	73214604	73364823	chr1	72636547	72899240
ENSG00000227016	LINC02796	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	1	73230714	73245974	chr1	72765031	72791282
ENSG00000229636	KRT8P21	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	1	73570475	73571965	chr1	73104792	73106282
ENSG00000251825	RN7SKP19	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	1	73657287	73657538	chr1	73191604	73191855
ENSG00000233973	LINC01360	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	1	73771853	73820934	chr1	73305609	73355253
ENSG00000223479	LINC02238	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	1	74100899	74180897	chr1	73635216	73715214
ENSG00000200601	RNA5SP50	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	74215200	74215306	chr1	73749517	73749623
ENSG00000116783	TNNI3K	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	1	74663947	75010112	chr1	74235387	74544428
ENSG00000233894	RP4-650F12.2	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	74933879	74935227	chr1	74468195	74469543
ENSG00000162621	LRRC53	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	1	74935562	74978298	chr1	74469376	74512611
ENSG00000178965	ERICH3	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	75033795	75139422	chr1	74568117	74673792
ENSG00000206999	RNU6-622P	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	75648730	75648832	chr1	75183045	75183147
ENSG00000137968	SLC44A5	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	75667816	76076801	chr1	75202129	75611114
ENSG00000225598	RP11-339D23.1	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	1	80839049	80840306	chr1	80373364	80374621
ENSG00000223026	RN7SKP247	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	1	81717474	81717781	chr1	81251789	81252096
ENSG00000233290	RP11-147G16.1	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	82680904	82726817	chr1	82212413	82848205
ENSG00000230817	LINC01362	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	1	83368866	83632498	chr1	82903183	83166815
ENSG00000231364	LINC01712	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	1	83911736	83920454	chr1	83445967	83480024
ENSG00000233008	LINC01725	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	1	84041459	84326706	chr1	83575776	83861053
ENSG00000137941	TTLL7	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	1	84330711	84464833	chr1	83865024	83999150
ENSG00000221702	AL356270.1	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	1	87071953	87072040	chrNA		
ENSG00000153923	CLCA3P	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	1	87099956	87121059	chr1	86634276	86654745
ENSG00000097033	SH3GLB1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	1	87170259	87213867	chr1	86704570	86748184
ENSG00000183291	SELENOF	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	1	87328132	87380107	chr1	86862445	86914424
ENSG00000153936	HS2ST1	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	87380331	87602334	chr1	86914635	87109982
ENSG00000267734	RP4-604K5.3	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	1	87397882	87400574	chr1	86932199	86934891
ENSG00000267561	RP5-1052I5.2	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	1	87458692	87634884	chr1	86993009	87169204
ENSG00000235251	RP11-384B12.2	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	87510618	87511554	chr1	87044935	87045871
ENSG00000225568	RP11-384B12.3	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	87511558	87512383	chr1	87045875	87046700
ENSG00000267272	LINC01140	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	87595448	87634881	chr1	87129765	87169198
ENSG00000143013	LMO4	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	1	87794151	87814606	chr1	87328880	87348923
ENSG00000227290	LINC01364	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	87819207	87837338	chr1	87353521	87371683
ENSG00000199318	RNA5SP52	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	1	87918923	87919056	chr1	87453240	87453373
ENSG00000270507	CTA-21C21.1	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	1	88778836	88778985	chr1	88313153	88313302
ENSG00000237505	PKN2-AS1	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	1	89003196	89150887	chr1	87620803	88685204
ENSG00000065243	PKN2	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	1	89149905	89301938	chr1	88684222	88836255
ENSG00000228971	LINC02607	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	95975672	96247898	chr1	95510059	95782342
ENSG00000237435	LINC02790	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	1	96403457	96488436	chr1	95937901	96022890
ENSG00000231987	LINC01787	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	96719625	96839681	chr1	96254069	96374125
ENSG00000225923	RP4-736I12.1	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	1	96856208	96856949	chr1	96390652	96391393
ENSG00000234422	UBE2WP1	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	96884150	96884489	chr1	96418594	96418933
ENSG00000228502	EEF1A1P11	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	1	96912486	96913874	chr1	96446930	96448318
ENSG00000241992	RN7SL831P	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	97048765	97049081	chr1	96583209	96583527
ENSG00000234226	NDUFS5P2	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	97049973	97050290	chr1	96584422	96584727
ENSG00000137970	RPL7P9	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	97144430	97145176	chr1	96678874	96679620
ENSG00000117569	PTBP2	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	1	97187221	97289294	chr1	96721665	96823738
ENSG00000226053	LINC01776	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	98676303	98738214	chr1	98210747	98272658
ENSG00000196427	NBPF4	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	1	108765963	108786689	chr1	108222464	108244081
ENSG00000271427	RP11-188D8.1	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	117907521	117908095	chr1	117364899	117365473
ENSG00000198162	MAN1A2	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	1	117910071	118071494	chr1	117367449	117528872
ENSG00000143624	INTS3	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	1	153700543	153746555	chr1	153728050	153774808
ENSG00000143614	GATAD2B	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	1	153777201	153895451	chr1	153789030	153923360
ENSG00000143569	UBAP2L	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	1	154192655	154243986	chr1	154220179	154271510
ENSG00000163239	TDRD10	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	154474695	154520623	chr1	154502219	154548147
ENSG00000160714	UBE2Q1	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	154521053	154531504	chr1	154548577	154559028
ENSG00000229780	UBE2Q1-AS1	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	154526085	154527493	chr1	154553609	154555017
ENSG00000160716	CHRNB2	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	1	154540257	154552502	chr1	154567778	154580013
ENSG00000233875	RP11-61L14.6	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	154551541	154552139	chr1	154579065	154579663
ENSG00000160710	ADAR	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	1	154554538	154600475	chr1	154581695	154628013
ENSG00000143603	KCNN3	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	1	154669931	154842756	chr1	154697455	154870281
ENSG00000233693	PBX1-AS1	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	164738353	164743878	chr1	164769116	164774641
ENSG00000229612	SUMO1P2	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	168867374	168867677	chr1	168898136	168898439
ENSG00000203601	LINC00970	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	168873143	169056243	chr1	168903905	169087005
ENSG00000213063	RPL29P7	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	168907705	168908161	chr1	168938467	168938923
ENSG00000143153	ATP1B1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	1	169074935	169101960	chr1	169105697	169310992
ENSG00000120334	CENPL	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	173768688	173793858	chr1	173799550	173824883
ENSG00000117593	DARS2	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	173793641	173827684	chr1	173824653	173858808
ENSG00000270084	GAS5-AS1	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	173832386	173833079	chr1	173862473	173863941
ENSG00000234741	GAS5	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	1	173833038	173838020	chr1	173858559	173868882
ENSG00000185278	ZBTB37	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	173837220	173872687	chr1	173868082	173903547
