p1	p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se	id	trait	subcategory	note	category	consortium	priority	author	year	unit	mr	sample_size	nsnp	population	sex	pmid	ontology	build	group_name	ncase	ncontrol	sd	doi
results/ldsc/munged/pgc_mdd_noUKBB_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ebi-a-GCST005038.hm3.sumstats.gz	0.1856	0.0218	8.5113	1.7207e-17	0.049	0.0048	1.0027	0.0148	0.0061	0.0078	ebi-a-GCST005038	Allergic disease (asthma, hay fever or eczema)	NA	NA	NA	NA	0	Ferreira MA	2017	logOR	1	360838	8133670	European	NA	29083406	NA	HG19/GRCh37	public	180129	180709	NA	NA
results/ldsc/munged/pgc_mdd_noUKBB_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ebi-a-GCST004617.hm3.sumstats.gz	-0.0576	0.0191	-3.0219	0.0025	0.1752	0.0214	0.9519	0.0303	0.0154	0.0085	ebi-a-GCST004617	Eosinophil percentage of granulocytes	NA	NA	NA	NA	0	Astle WJ	2016	NA	1	170536	29165900	European	NA	27863252	NA	HG19/GRCh37	public	NA	NA	NA	NA
results/ldsc/munged/pgc_mdd_noUKBB_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ebi-a-GCST004623.hm3.sumstats.gz	0.0574	0.0192	2.9962	0.0027	0.1645	0.0195	0.9486	0.0271	-0.0157	0.0084	ebi-a-GCST004623	Neutrophil percentage of granulocytes	NA	NA	NA	NA	0	Astle WJ	2016	NA	1	170672	29166153	European	NA	27863252	NA	HG19/GRCh37	public	NA	NA	NA	NA
results/ldsc/munged/pgc_mdd_noUKBB_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ukb-b-17241.hm3.sumstats.gz	0.0853	0.0184	4.6468	3.3717e-6	0.0703	0.0056	1.0591	0.0213	0.0097	0.0083	ukb-b-17241	Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Hayfever, allergic rhinitis or eczema	NA	6152#9: Output from GWAS pipeline using Phesant derived variables from UKBiobank	Binary	MRC-IEU	1	Ben Elsworth	2018	SD	1	462013	9851867	European	Males and Females	NA	NA	HG19/GRCh37	public	106201	355812	NA	NA
results/ldsc/munged/pgc_mdd_noUKBB_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ebi-a-GCST90000025.hm3.sumstats.gz	-0.0756	0.0145	-5.227	1.7229e-7	0.3811	0.0188	1.2699	0.0617	0.0145	0.0131	ebi-a-GCST90000025	Appendicular lean mass	NA	NA	NA	NA	0	Pei YF	2020	NA	1	450243	18071518	European	NA	33097823	NA	HG19/GRCh37	public	NA	NA	NA	NA
results/ldsc/munged/pgc_mdd_noUKBB_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ukb-a-500.hm3.sumstats.gz	0.0516	0.0135	3.8274	1e-4	0.2903	0.0301	1.0767	0.0349	-0.0164	0.0087	ukb-a-500	Heel bone mineral density (BMD) T-score  automated	NA	NA	NA	Neale Lab	1	Neale	2017	SD	1	194398	10894596	European	Males and Females	NA	NA	HG19/GRCh37	public	NA	NA	NA	NA
results/ldsc/munged/pgc_mdd_noUKBB_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ukb-b-4657.hm3.sumstats.gz	-0.0577	0.0159	-3.6369	3e-4	0.3072	0.0305	1.0607	0.0295	0.0187	0.0087	ukb-b-4657	Heel bone mineral density (BMD) (right)	NA	4124: Output from GWAS pipeline using Phesant derived variables from UKBiobank	Continuous	MRC-IEU	1	Ben Elsworth	2018	SD	1	146093	9851867	European	Males and Females	NA	NA	HG19/GRCh37	public	NA	NA	NA	NA
results/ldsc/munged/pgc_mdd_noUKBB_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ukb-a-359.hm3.sumstats.gz	-0.0696	0.0174	-3.9954	6.4594e-5	0.1328	0.006	1.0691	0.0182	0.003	0.0085	ukb-a-359	Diastolic blood pressure  automated reading	NA	NA	NA	Neale Lab	1	Neale	2017	SD	1	317756	10894596	European	Males and Females	NA	NA	HG19/GRCh37	public	NA	NA	NA	NA
results/ldsc/munged/pgc_mdd_noUKBB_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ebi-a-GCST004606.hm3.sumstats.gz	-0.0331	0.0187	-1.7735	0.0761	0.1846	0.0238	0.956	0.0339	0.0088	0.0086	ebi-a-GCST004606	Eosinophil counts	NA	NA	NA	NA	0	Astle WJ	2016	NA	1	172275	29169165	European	NA	27863252	NA	HG19/GRCh37	public	NA	NA	NA	NA
results/ldsc/munged/pgc_mdd_noUKBB_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ukb-b-20032.hm3.sumstats.gz	-0.0575	0.0159	-3.6103	3e-4	0.3054	0.0303	1.0616	0.0292	0.0179	0.0087	ukb-b-20032	Heel bone mineral density (BMD) T-score, automated (right)	NA	4125: Output from GWAS pipeline using Phesant derived variables from UKBiobank	Continuous	MRC-IEU	1	Ben Elsworth	2018	SD	1	146181	9851867	European	Males and Females	NA	NA	HG19/GRCh37	public	NA	NA	NA	NA
results/ldsc/munged/pgc_mdd_noUKBB_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ukb-b-5463.hm3.sumstats.gz	-0.0575	0.0159	-3.6086	3e-4	0.3054	0.0303	1.0616	0.0292	0.0179	0.0087	ukb-b-5463	Heel quantitative ultrasound index (QUI), direct entry (right)	NA	4123: Output from GWAS pipeline using Phesant derived variables from UKBiobank	Continuous	MRC-IEU	1	Ben Elsworth	2018	SD	1	146181	9851867	European	Males and Females	NA	NA	HG19/GRCh37	public	NA	NA	NA	NA
results/ldsc/munged/pgc_mdd_noUKBB_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ukb-b-7992.hm3.sumstats.gz	0.0651	0.0163	4.0036	6.2374e-5	0.1332	0.0059	1.1022	0.0229	-0.0032	0.0093	ukb-b-7992	Diastolic blood pressure, automated reading	NA	4079: Output from GWAS pipeline using Phesant derived variables from UKBiobank	Continuous	MRC-IEU	1	Ben Elsworth	2018	SD	1	436424	9851867	European	Males and Females	NA	NA	HG19/GRCh37	public	NA	NA	NA	NA
results/ldsc/munged/pgc_mdd_noUKBB_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ukb-b-18113.hm3.sumstats.gz	0.222	0.0216	10.2913	7.715200000000001e-25	0.0567	0.0058	1.0416	0.0207	0.016	0.0089	ukb-b-18113	Non-cancer illness code, self-reported: asthma	NA	20002#1111: Output from GWAS pipeline using Phesant derived variables from UKBiobank	Binary	MRC-IEU	1	Ben Elsworth	2018	SD	1	462933	9851867	European	Males and Females	NA	NA	HG19/GRCh37	public	53598	409335	NA	NA
results/ldsc/munged/pgc_mdd_noUKBB_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ukb-a-447.hm3.sumstats.gz	-0.0625	0.0195	-3.2099	0.0013	0.0723	0.0061	1.0384	0.018	-0.0101	0.0078	ukb-a-447	Blood clot  DVT  bronchitis  emphysema  asthma  rhinitis  eczema  allergy diagnosed by doctor: Hayfever  allergic rhinitis or eczema	NA	NA	NA	Neale Lab	1	Neale	2017	SD	1	336782	10894596	European	Males and Females	NA	NA	HG19/GRCh37	public	77891	258891	NA	NA
results/ldsc/munged/pgc_mdd_noUKBB_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ukb-a-274.hm3.sumstats.gz	-0.2069	0.0152	-13.6214	2.9891e-42	0.2051	0.007	1.0804	0.0181	0.0026	0.0101	ukb-a-274	Leg fat percentage (right)	NA	NA	NA	Neale Lab	1	Neale	2017	SD	1	331296	10894596	European	Males and Females	NA	NA	HG19/GRCh37	public	NA	NA	NA	NA
results/ldsc/munged/pgc_mdd_noUKBB_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ukb-a-442.hm3.sumstats.gz	0.1781	0.0211	8.4297	3.4653e-17	0.0771	0.007	1.0306	0.0206	0.009	0.008	ukb-a-442	Blood clot  DVT  bronchitis  emphysema  asthma  rhinitis  eczema  allergy diagnosed by doctor: None of the above	NA	NA	NA	Neale Lab	1	Neale	2017	SD	1	336782	10894596	European	Males and Females	NA	NA	HG19/GRCh37	public	228530	108252	NA	NA
results/ldsc/munged/pgc_mdd_noUKBB_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ukb-b-20296.hm3.sumstats.gz	0.2236	0.0217	10.2975	7.2316000000000005e-25	0.0564	0.0057	1.0397	0.0205	0.017	0.0091	ukb-b-20296	Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Asthma	NA	6152#8: Output from GWAS pipeline using Phesant derived variables from UKBiobank	Binary	MRC-IEU	1	Ben Elsworth	2018	SD	1	462013	9851867	European	Males and Females	NA	NA	HG19/GRCh37	public	53257	408756	NA	NA
results/ldsc/munged/pgc_mdd_noUKBB_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ukb-a-278.hm3.sumstats.gz	-0.2046	0.0152	-13.4413	3.4615999999999995e-41	0.2048	0.007	1.0842	0.0181	8e-4	0.0101	ukb-a-278	Leg fat percentage (left)	NA	NA	NA	Neale Lab	1	Neale	2017	SD	1	331278	10894596	European	Males and Females	NA	NA	HG19/GRCh37	public	NA	NA	NA	NA
results/ldsc/munged/pgc_mdd_noUKBB_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ebi-a-GCST004627.hm3.sumstats.gz	0.0288	0.0174	1.6563	0.0977	0.1842	0.0149	0.9686	0.0226	-0.0031	0.0083	ebi-a-GCST004627	Lymphocyte counts	NA	NA	NA	NA	0	Astle WJ	2016	NA	1	171643	29167587	European	NA	27863252	NA	HG19/GRCh37	public	NA	NA	NA	NA
results/ldsc/munged/pgc_mdd_noUKBB_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ukb-a-362.hm3.sumstats.gz	0.0471	0.0174	2.7008	0.0069	0.299	0.0363	1.0286	0.0248	-0.0101	0.0085	ukb-a-362	Heel bone mineral density (BMD) T-score  automated (right)	NA	NA	NA	Neale Lab	1	Neale	2017	SD	1	106251	10894596	European	Males and Females	NA	NA	HG19/GRCh37	public	NA	NA	NA	NA
results/ldsc/munged/pgc_mdd_noUKBB_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ebi-a-GCST004624.hm3.sumstats.gz	-0.0301	0.0182	-1.658	0.0973	0.1765	0.0223	0.9599	0.0317	0.0089	0.0086	ebi-a-GCST004624	Sum eosinophil basophil counts	NA	NA	NA	NA	0	Astle WJ	2016	NA	1	171771	29161415	European	NA	27863252	NA	HG19/GRCh37	public	NA	NA	NA	NA
results/ldsc/munged/pgc_mdd_noUKBB_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ebi-a-GCST90000026.hm3.sumstats.gz	-0.0627	0.0168	-3.7376	2e-4	0.3959	0.0218	1.0896	0.0342	0.0081	0.011	ebi-a-GCST90000026	Appendicular lean mass	NA	NA	NA	NA	0	Pei YF	2020	NA	1	205513	18164071	European	NA	33097823	NA	HG19/GRCh37	public	NA	NA	NA	NA
results/ldsc/munged/pgc_mdd_noUKBB_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ukb-b-6027.hm3.sumstats.gz	-0.0284	0.0168	-1.6873	0.0915	0.2829	0.0314	1.043	0.0294	0.0144	0.0089	ukb-b-6027	Heel broadband ultrasound attenuation (right)	NA	4120: Output from GWAS pipeline using Phesant derived variables from UKBiobank	Continuous	MRC-IEU	1	Ben Elsworth	2018	SD	1	146171	9851867	European	Males and Females	NA	NA	HG19/GRCh37	public	NA	NA	NA	NA
results/ldsc/munged/pgc_mdd_noUKBB_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ukb-a-264.hm3.sumstats.gz	-0.1856	0.0148	-12.5601	3.4977e-36	0.2129	0.0078	1.0861	0.0199	6e-4	0.0097	ukb-a-264	Body fat percentage	NA	NA	NA	Neale Lab	1	Neale	2017	SD	1	331117	10894596	European	Males and Females	NA	NA	HG19/GRCh37	public	NA	NA	NA	NA
results/ldsc/munged/pgc_mdd_noUKBB_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ukb-d-30120_irnt.hm3.sumstats.gz	0.1169	0.015	7.7769	7.4346e-15	0.183	0.0131	1.1458	0.0434	-0.0179	0.0091	ukb-d-30120_irnt	Lymphocyte count	NA	NA	Continuous	NA	0	Neale lab	2018	NA	1	349856	13586292	European	Males and Females	NA	NA	HG19/GRCh37	public	NA	NA	NA	NA
results/ldsc/munged/pgc_mdd_noUKBB_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ukb-b-1096.hm3.sumstats.gz	-0.0485	0.0158	-3.0654	0.0022	0.3022	0.0296	1.0616	0.0282	0.0158	0.0087	ukb-b-1096	Heel bone mineral density (BMD) (left)	NA	4105: Output from GWAS pipeline using Phesant derived variables from UKBiobank	Continuous	MRC-IEU	1	Ben Elsworth	2018	SD	1	146139	9851867	European	Males and Females	NA	NA	HG19/GRCh37	public	NA	NA	NA	NA
results/ldsc/munged/pgc_mdd_noUKBB_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ukb-b-20175.hm3.sumstats.gz	0.002	0.0162	0.1236	0.9017	0.124	0.0055	1.1047	0.0221	-0.0042	0.0095	ukb-b-20175	Systolic blood pressure, automated reading	NA	4080: Output from GWAS pipeline using Phesant derived variables from UKBiobank	Continuous	MRC-IEU	1	Ben Elsworth	2018	SD	1	436419	9851867	European	Males and Females	NA	NA	HG19/GRCh37	public	NA	NA	NA	NA
results/ldsc/munged/pgc_mdd_noUKBB_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ukb-b-845.hm3.sumstats.gz	-0.0488	0.0159	-3.0741	0.0021	0.3	0.0295	1.0617	0.0281	0.0156	0.0087	ukb-b-845	Heel quantitative ultrasound index (QUI), direct entry (left)	NA	4104: Output from GWAS pipeline using Phesant derived variables from UKBiobank	Continuous	MRC-IEU	1	Ben Elsworth	2018	SD	1	146226	9851867	European	Males and Females	NA	NA	HG19/GRCh37	public	NA	NA	NA	NA
results/ldsc/munged/pgc_mdd_noUKBB_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ukb-b-15730.hm3.sumstats.gz	-0.0488	0.0159	-3.0737	0.0021	0.3001	0.0295	1.0617	0.0281	0.0156	0.0087	ukb-b-15730	Heel bone mineral density (BMD) T-score, automated (left)	NA	4106: Output from GWAS pipeline using Phesant derived variables from UKBiobank	Continuous	MRC-IEU	1	Ben Elsworth	2018	SD	1	146226	9851867	European	Males and Females	NA	NA	HG19/GRCh37	public	NA	NA	NA	NA
results/ldsc/munged/pgc_mdd_noUKBB_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ukb-a-286.hm3.sumstats.gz	-0.1833	0.0148	-12.3484	4.9719e-35	0.2166	0.008	1.073	0.0202	0.0022	0.0099	ukb-a-286	Arm fat percentage (left)	NA	NA	NA	Neale Lab	1	Neale	2017	SD	1	331198	10894596	European	Males and Females	NA	NA	HG19/GRCh37	public	NA	NA	NA	NA
results/ldsc/munged/pgc_mdd_noUKBB_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ukb-a-279.hm3.sumstats.gz	-0.185	0.0154	-11.9924	3.8941e-33	0.2289	0.0082	1.0661	0.0197	-0.002	0.0101	ukb-a-279	Leg fat mass (left)	NA	NA	NA	Neale Lab	1	Neale	2017	SD	1	331275	10894596	European	Males and Females	NA	NA	HG19/GRCh37	public	NA	NA	NA	NA
results/ldsc/munged/pgc_mdd_noUKBB_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ieu-b-4877.hm3.sumstats.gz	0.3393	0.017	19.9618	1.1841e-88	0.0688	0.0026	0.884	0.0119	0.0295	0.0107	ieu-b-4877	smoking initiation	Behavioural	sample_size corresponds to the median effective sample size across SNPs, while ncases correspond to maximum reported ever smokers and ncontrols correspond to maximum reported never smokers in supplementary tables; the maximum reported sample size was 632802	Risk factor	GSCAN	NA	Liu M	2019	standardised log odds	NA	607291	11802365	European	Males and Females	30643251	EFO:0005670	HG19/GRCh37	public	311629	321173	NA	NA
results/ldsc/munged/pgc_mdd_noUKBB_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ukb-b-10093.hm3.sumstats.gz	0.5858	0.0178	32.9902	1.1210999999999999e-238	0.0555	0.0028	1.0132	0.011	-0.0061	0.0097	ukb-b-10093	Tense / 'highly strung'	NA	1990: Output from GWAS pipeline using Phesant derived variables from UKBiobank	Binary	MRC-IEU	1	Ben Elsworth	2018	SD	1	447961	9851867	European	Males and Females	NA	NA	HG19/GRCh37	public	78408	369553	NA	NA
results/ldsc/munged/pgc_mdd_noUKBB_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ukb-b-14177.hm3.sumstats.gz	0.1981	0.0161	12.3047	8.5453e-35	0.113	0.005	1.0905	0.0238	-0.005	0.0096	ukb-b-14177	Vascular/heart problems diagnosed by doctor: High blood pressure	NA	6150#4: Output from GWAS pipeline using Phesant derived variables from UKBiobank	Binary	MRC-IEU	1	Ben Elsworth	2018	SD	1	461880	9851867	European	Males and Females	NA	NA	HG19/GRCh37	public	124227	337653	NA	NA
results/ldsc/munged/pgc_mdd_noUKBB_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ukb-a-275.hm3.sumstats.gz	-0.1871	0.0153	-12.2176	2.5021e-34	0.2283	0.0082	1.0638	0.0197	-8e-4	0.0101	ukb-a-275	Leg fat mass (right)	NA	NA	NA	Neale Lab	1	Neale	2017	SD	1	331293	10894596	European	Males and Females	NA	NA	HG19/GRCh37	public	NA	NA	NA	NA
results/ldsc/munged/pgc_mdd_noUKBB_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ukb-a-290.hm3.sumstats.gz	-0.1666	0.015	-11.1044	1.1937e-28	0.2027	0.0078	1.0889	0.0202	-0.0022	0.0096	ukb-a-290	Trunk fat percentage	NA	NA	NA	Neale Lab	1	Neale	2017	SD	1	331113	10894596	European	Males and Females	NA	NA	HG19/GRCh37	public	NA	NA	NA	NA
results/ldsc/munged/pgc_mdd_noUKBB_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ukb-b-14057.hm3.sumstats.gz	0.1951	0.0157	12.416	2.1405999999999998e-35	0.111	0.005	1.0868	0.0243	-0.003	0.0094	ukb-b-14057	Non-cancer illness code, self-reported: hypertension	NA	20002#1065: Output from GWAS pipeline using Phesant derived variables from UKBiobank	Binary	MRC-IEU	1	Ben Elsworth	2018	SD	1	462933	9851867	European	Males and Females	NA	NA	HG19/GRCh37	public	119731	343202	NA	NA
results/ldsc/munged/pgc_mdd_noUKBB_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ukb-b-8909.hm3.sumstats.gz	0.1694	0.0139	12.1956	3.2796e-34	0.2192	0.007	1.1081	0.0241	0.0055	0.0103	ukb-b-8909	Body fat percentage	NA	23099: Output from GWAS pipeline using Phesant derived variables from UKBiobank	Continuous	MRC-IEU	1	Ben Elsworth	2018	SD	1	454633	9851867	European	Males and Females	NA	NA	HG19/GRCh37	public	NA	NA	NA	NA
results/ldsc/munged/pgc_mdd_noUKBB_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ukb-b-13352.hm3.sumstats.gz	-0.2224	0.0163	-13.6055	3.7134e-42	0.1097	0.0047	1.0892	0.0216	0.0083	0.0094	ukb-b-13352	Vascular/heart problems diagnosed by doctor: None of the above	NA	6150#100: Output from GWAS pipeline using Phesant derived variables from UKBiobank	Binary	MRC-IEU	1	Ben Elsworth	2018	SD	1	461880	9851867	European	Males and Females	NA	NA	HG19/GRCh37	public	325118	136762	NA	NA
results/ldsc/munged/pgc_mdd_noUKBB_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ebi-a-GCST006952.hm3.sumstats.gz	0.5737	0.0202	28.389	2.7681e-177	0.0526	0.0024	1.0035	0.009	-0.0059	0.0087	ebi-a-GCST006952	Feeling tense	NA	NA	NA	NA	0	Nagel M	2018	NA	1	371318	10824652	European	NA	29500382	NA	HG19/GRCh37	public	NA	NA	NA	NA
results/ldsc/munged/pgc_mdd_noUKBB_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ukb-b-18377.hm3.sumstats.gz	0.1887	0.0141	13.4021	5.878499999999999e-41	0.2069	0.0061	1.0977	0.0207	0.0057	0.0105	ukb-b-18377	Leg fat percentage (left)	NA	23115: Output from GWAS pipeline using Phesant derived variables from UKBiobank	Continuous	MRC-IEU	1	Ben Elsworth	2018	SD	1	454826	9851867	European	Males and Females	NA	NA	HG19/GRCh37	public	NA	NA	NA	NA
results/ldsc/munged/pgc_mdd_noUKBB_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ukb-b-20531.hm3.sumstats.gz	0.1922	0.014	13.7441	5.5281999999999994e-43	0.207	0.0062	1.1	0.0205	0.0035	0.0103	ukb-b-20531	Leg fat percentage (right)	NA	23111: Output from GWAS pipeline using Phesant derived variables from UKBiobank	Continuous	MRC-IEU	1	Ben Elsworth	2018	SD	1	454854	9851867	European	Males and Females	NA	NA	HG19/GRCh37	public	NA	NA	NA	NA
results/ldsc/munged/pgc_mdd_noUKBB_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ebi-a-GCST006943.hm3.sumstats.gz	0.6607	0.0176	37.5725	6.0524e-303	0.0594	0.0027	1.008	0.0107	-0.0011	0.0094	ebi-a-GCST006943	Feeling miserable	NA	NA	NA	NA	0	Nagel M	2018	NA	1	376097	10824771	European	NA	29500382	NA	HG19/GRCh37	public	NA	NA	NA	NA
