p1	p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se	id	trait	subcategory	note	category	consortium	priority	author	year	unit	mr	sample_size	nsnp	population	sex	pmid	ontology	build	group_name	ncase	ncontrol	sd	doi
results/ldsc/munged/pgc_mdd_full_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ebi-a-GCST005038.hm3.sumstats.gz	0.1971	0.0222	8.8915	6.030000000000001e-19	0.049	0.0049	1.0036	0.0153	0.0093	0.0079	ebi-a-GCST005038	Allergic disease (asthma, hay fever or eczema)	NA	NA	NA	NA	0	Ferreira MA	2017	logOR	1	360838	8133670	European	NA	29083406	NA	HG19/GRCh37	public	180129	180709	NA	NA
results/ldsc/munged/pgc_mdd_full_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ebi-a-GCST004617.hm3.sumstats.gz	-0.0565	0.019	-2.977	0.0029	0.1744	0.0215	0.9547	0.0311	0.0124	0.0087	ebi-a-GCST004617	Eosinophil percentage of granulocytes	NA	NA	NA	NA	0	Astle WJ	2016	NA	1	170536	29165900	European	NA	27863252	NA	HG19/GRCh37	public	NA	NA	NA	NA
results/ldsc/munged/pgc_mdd_full_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ebi-a-GCST004623.hm3.sumstats.gz	0.0579	0.019	3.0439	0.0023	0.1639	0.0196	0.951	0.0277	-0.0135	0.0087	ebi-a-GCST004623	Neutrophil percentage of granulocytes	NA	NA	NA	NA	0	Astle WJ	2016	NA	1	170672	29166153	European	NA	27863252	NA	HG19/GRCh37	public	NA	NA	NA	NA
results/ldsc/munged/pgc_mdd_full_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ukb-b-17241.hm3.sumstats.gz	0.0962	0.0184	5.2354	1.6463e-7	0.0703	0.0056	1.0596	0.0214	0.0195	0.0087	ukb-b-17241	Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Hayfever, allergic rhinitis or eczema	NA	6152#9: Output from GWAS pipeline using Phesant derived variables from UKBiobank	Binary	MRC-IEU	1	Ben Elsworth	2018	SD	1	462013	9851867	European	Males and Females	NA	NA	HG19/GRCh37	public	106201	355812	NA	NA
results/ldsc/munged/pgc_mdd_full_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ebi-a-GCST90000025.hm3.sumstats.gz	-0.0756	0.014	-5.4074	6.3929e-8	0.3802	0.0186	1.2752	0.0633	0.0058	0.0132	ebi-a-GCST90000025	Appendicular lean mass	NA	NA	NA	NA	0	Pei YF	2020	NA	1	450243	18071518	European	NA	33097823	NA	HG19/GRCh37	public	NA	NA	NA	NA
results/ldsc/munged/pgc_mdd_full_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ukb-a-500.hm3.sumstats.gz	0.049	0.0137	3.5731	4e-4	0.2893	0.0295	1.0796	0.0361	-0.013	0.0091	ukb-a-500	Heel bone mineral density (BMD) T-score  automated	NA	NA	NA	Neale Lab	1	Neale	2017	SD	1	194398	10894596	European	Males and Females	NA	NA	HG19/GRCh37	public	NA	NA	NA	NA
results/ldsc/munged/pgc_mdd_full_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ukb-b-4657.hm3.sumstats.gz	-0.0509	0.0161	-3.1613	0.0016	0.3063	0.0303	1.0624	0.0291	0.0138	0.009	ukb-b-4657	Heel bone mineral density (BMD) (right)	NA	4124: Output from GWAS pipeline using Phesant derived variables from UKBiobank	Continuous	MRC-IEU	1	Ben Elsworth	2018	SD	1	146093	9851867	European	Males and Females	NA	NA	HG19/GRCh37	public	NA	NA	NA	NA
results/ldsc/munged/pgc_mdd_full_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ukb-a-359.hm3.sumstats.gz	-0.0683	0.0172	-3.9839	6.7792e-5	0.1326	0.006	1.0696	0.0177	0.0053	0.0087	ukb-a-359	Diastolic blood pressure  automated reading	NA	NA	NA	Neale Lab	1	Neale	2017	SD	1	317756	10894596	European	Males and Females	NA	NA	HG19/GRCh37	public	NA	NA	NA	NA
results/ldsc/munged/pgc_mdd_full_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ebi-a-GCST004606.hm3.sumstats.gz	-0.0321	0.0178	-1.8077	0.0707	0.1841	0.0237	0.958	0.0341	0.0071	0.0084	ebi-a-GCST004606	Eosinophil counts	NA	NA	NA	NA	0	Astle WJ	2016	NA	1	172275	29169165	European	NA	27863252	NA	HG19/GRCh37	public	NA	NA	NA	NA
results/ldsc/munged/pgc_mdd_full_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ukb-b-20032.hm3.sumstats.gz	-0.0512	0.0161	-3.176	0.0015	0.3045	0.0301	1.0635	0.0289	0.0137	0.0089	ukb-b-20032	Heel bone mineral density (BMD) T-score, automated (right)	NA	4125: Output from GWAS pipeline using Phesant derived variables from UKBiobank	Continuous	MRC-IEU	1	Ben Elsworth	2018	SD	1	146181	9851867	European	Males and Females	NA	NA	HG19/GRCh37	public	NA	NA	NA	NA
results/ldsc/munged/pgc_mdd_full_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ukb-b-5463.hm3.sumstats.gz	-0.0512	0.0161	-3.1744	0.0015	0.3045	0.0301	1.0635	0.0289	0.0137	0.0089	ukb-b-5463	Heel quantitative ultrasound index (QUI), direct entry (right)	NA	4123: Output from GWAS pipeline using Phesant derived variables from UKBiobank	Continuous	MRC-IEU	1	Ben Elsworth	2018	SD	1	146181	9851867	European	Males and Females	NA	NA	HG19/GRCh37	public	NA	NA	NA	NA
results/ldsc/munged/pgc_mdd_full_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ukb-b-7992.hm3.sumstats.gz	0.0633	0.0166	3.8098	1e-4	0.1329	0.0058	1.1038	0.0221	-0.0061	0.0098	ukb-b-7992	Diastolic blood pressure, automated reading	NA	4079: Output from GWAS pipeline using Phesant derived variables from UKBiobank	Continuous	MRC-IEU	1	Ben Elsworth	2018	SD	1	436424	9851867	European	Males and Females	NA	NA	HG19/GRCh37	public	NA	NA	NA	NA
results/ldsc/munged/pgc_mdd_full_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ukb-b-18113.hm3.sumstats.gz	0.2262	0.0208	10.8545	1.8989e-27	0.0571	0.0059	1.0393	0.021	0.0325	0.0088	ukb-b-18113	Non-cancer illness code, self-reported: asthma	NA	20002#1111: Output from GWAS pipeline using Phesant derived variables from UKBiobank	Binary	MRC-IEU	1	Ben Elsworth	2018	SD	1	462933	9851867	European	Males and Females	NA	NA	HG19/GRCh37	public	53598	409335	NA	NA
results/ldsc/munged/pgc_mdd_full_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ukb-a-447.hm3.sumstats.gz	-0.0719	0.0192	-3.7429	2e-4	0.0724	0.0061	1.0381	0.0178	-0.0207	0.0082	ukb-a-447	Blood clot  DVT  bronchitis  emphysema  asthma  rhinitis  eczema  allergy diagnosed by doctor: Hayfever  allergic rhinitis or eczema	NA	NA	NA	Neale Lab	1	Neale	2017	SD	1	336782	10894596	European	Males and Females	NA	NA	HG19/GRCh37	public	77891	258891	NA	NA
results/ldsc/munged/pgc_mdd_full_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ukb-a-274.hm3.sumstats.gz	-0.2126	0.0148	-14.4025	4.9904e-47	0.205	0.0069	1.0808	0.018	-0.0195	0.0105	ukb-a-274	Leg fat percentage (right)	NA	NA	NA	Neale Lab	1	Neale	2017	SD	1	331296	10894596	European	Males and Females	NA	NA	HG19/GRCh37	public	NA	NA	NA	NA
results/ldsc/munged/pgc_mdd_full_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ukb-a-442.hm3.sumstats.gz	0.1887	0.0204	9.2602	2.041e-20	0.0772	0.0071	1.0305	0.0204	0.0257	0.0083	ukb-a-442	Blood clot  DVT  bronchitis  emphysema  asthma  rhinitis  eczema  allergy diagnosed by doctor: None of the above	NA	NA	NA	Neale Lab	1	Neale	2017	SD	1	336782	10894596	European	Males and Females	NA	NA	HG19/GRCh37	public	228530	108252	NA	NA
results/ldsc/munged/pgc_mdd_full_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ukb-b-20296.hm3.sumstats.gz	0.227	0.0211	10.7792	4.3155e-27	0.0568	0.0057	1.0374	0.0207	0.034	0.009	ukb-b-20296	Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Asthma	NA	6152#8: Output from GWAS pipeline using Phesant derived variables from UKBiobank	Binary	MRC-IEU	1	Ben Elsworth	2018	SD	1	462013	9851867	European	Males and Females	NA	NA	HG19/GRCh37	public	53257	408756	NA	NA
results/ldsc/munged/pgc_mdd_full_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ukb-a-278.hm3.sumstats.gz	-0.2101	0.0147	-14.3291	1.4401e-46	0.2048	0.0068	1.0841	0.0179	-0.021	0.0105	ukb-a-278	Leg fat percentage (left)	NA	NA	NA	Neale Lab	1	Neale	2017	SD	1	331278	10894596	European	Males and Females	NA	NA	HG19/GRCh37	public	NA	NA	NA	NA
results/ldsc/munged/pgc_mdd_full_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ebi-a-GCST004627.hm3.sumstats.gz	0.0295	0.0164	1.797	0.0723	0.1845	0.0149	0.968	0.0238	-0.0046	0.0082	ebi-a-GCST004627	Lymphocyte counts	NA	NA	NA	NA	0	Astle WJ	2016	NA	1	171643	29167587	European	NA	27863252	NA	HG19/GRCh37	public	NA	NA	NA	NA
results/ldsc/munged/pgc_mdd_full_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ukb-a-362.hm3.sumstats.gz	0.0414	0.0175	2.3589	0.0183	0.2981	0.0353	1.03	0.0244	-0.0071	0.0088	ukb-a-362	Heel bone mineral density (BMD) T-score  automated (right)	NA	NA	NA	Neale Lab	1	Neale	2017	SD	1	106251	10894596	European	Males and Females	NA	NA	HG19/GRCh37	public	NA	NA	NA	NA
results/ldsc/munged/pgc_mdd_full_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ebi-a-GCST004624.hm3.sumstats.gz	-0.0311	0.0174	-1.7846	0.0743	0.1764	0.0222	0.9611	0.0316	0.0079	0.0083	ebi-a-GCST004624	Sum eosinophil basophil counts	NA	NA	NA	NA	0	Astle WJ	2016	NA	1	171771	29161415	European	NA	27863252	NA	HG19/GRCh37	public	NA	NA	NA	NA
results/ldsc/munged/pgc_mdd_full_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ebi-a-GCST90000026.hm3.sumstats.gz	-0.0607	0.0165	-3.6718	2e-4	0.3955	0.0216	1.0904	0.034	0.0018	0.0111	ebi-a-GCST90000026	Appendicular lean mass	NA	NA	NA	NA	0	Pei YF	2020	NA	1	205513	18164071	European	NA	33097823	NA	HG19/GRCh37	public	NA	NA	NA	NA
results/ldsc/munged/pgc_mdd_full_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ukb-b-6027.hm3.sumstats.gz	-0.0246	0.0169	-1.4547	0.1457	0.2824	0.0312	1.0441	0.0292	0.0145	0.009	ukb-b-6027	Heel broadband ultrasound attenuation (right)	NA	4120: Output from GWAS pipeline using Phesant derived variables from UKBiobank	Continuous	MRC-IEU	1	Ben Elsworth	2018	SD	1	146171	9851867	European	Males and Females	NA	NA	HG19/GRCh37	public	NA	NA	NA	NA
results/ldsc/munged/pgc_mdd_full_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ukb-a-264.hm3.sumstats.gz	-0.1897	0.0142	-13.4076	5.458999999999999e-41	0.2129	0.0076	1.0861	0.0197	-0.0219	0.0103	ukb-a-264	Body fat percentage	NA	NA	NA	Neale Lab	1	Neale	2017	SD	1	331117	10894596	European	Males and Females	NA	NA	HG19/GRCh37	public	NA	NA	NA	NA
results/ldsc/munged/pgc_mdd_full_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ukb-d-30120_irnt.hm3.sumstats.gz	0.115	0.0143	8.0152	1.0997e-15	0.1834	0.0127	1.1444	0.0457	-0.0062	0.0093	ukb-d-30120_irnt	Lymphocyte count	NA	NA	Continuous	NA	0	Neale lab	2018	NA	1	349856	13586292	European	Males and Females	NA	NA	HG19/GRCh37	public	NA	NA	NA	NA
results/ldsc/munged/pgc_mdd_full_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ukb-b-1096.hm3.sumstats.gz	-0.0409	0.0163	-2.5109	0.012	0.3014	0.0295	1.0632	0.0283	0.0119	0.0091	ukb-b-1096	Heel bone mineral density (BMD) (left)	NA	4105: Output from GWAS pipeline using Phesant derived variables from UKBiobank	Continuous	MRC-IEU	1	Ben Elsworth	2018	SD	1	146139	9851867	European	Males and Females	NA	NA	HG19/GRCh37	public	NA	NA	NA	NA
results/ldsc/munged/pgc_mdd_full_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ukb-b-20175.hm3.sumstats.gz	0.0012	0.0165	0.0743	0.9408	0.1237	0.0057	1.1067	0.0218	-0.022	0.0098	ukb-b-20175	Systolic blood pressure, automated reading	NA	4080: Output from GWAS pipeline using Phesant derived variables from UKBiobank	Continuous	MRC-IEU	1	Ben Elsworth	2018	SD	1	436419	9851867	European	Males and Females	NA	NA	HG19/GRCh37	public	NA	NA	NA	NA
results/ldsc/munged/pgc_mdd_full_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ukb-b-845.hm3.sumstats.gz	-0.0415	0.0163	-2.5421	0.011	0.2992	0.0294	1.0633	0.0282	0.012	0.0091	ukb-b-845	Heel quantitative ultrasound index (QUI), direct entry (left)	NA	4104: Output from GWAS pipeline using Phesant derived variables from UKBiobank	Continuous	MRC-IEU	1	Ben Elsworth	2018	SD	1	146226	9851867	European	Males and Females	NA	NA	HG19/GRCh37	public	NA	NA	NA	NA
results/ldsc/munged/pgc_mdd_full_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ukb-b-15730.hm3.sumstats.gz	-0.0415	0.0163	-2.5422	0.011	0.2992	0.0294	1.0633	0.0282	0.012	0.0091	ukb-b-15730	Heel bone mineral density (BMD) T-score, automated (left)	NA	4106: Output from GWAS pipeline using Phesant derived variables from UKBiobank	Continuous	MRC-IEU	1	Ben Elsworth	2018	SD	1	146226	9851867	European	Males and Females	NA	NA	HG19/GRCh37	public	NA	NA	NA	NA
results/ldsc/munged/pgc_mdd_full_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ukb-a-286.hm3.sumstats.gz	-0.1867	0.0144	-12.9624	1.998e-38	0.2167	0.0078	1.0724	0.02	-0.0197	0.0106	ukb-a-286	Arm fat percentage (left)	NA	NA	NA	Neale Lab	1	Neale	2017	SD	1	331198	10894596	European	Males and Females	NA	NA	HG19/GRCh37	public	NA	NA	NA	NA
results/ldsc/munged/pgc_mdd_full_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ukb-a-279.hm3.sumstats.gz	-0.1912	0.0146	-13.0656	5.1759e-39	0.2289	0.008	1.0657	0.0194	-0.023	0.0107	ukb-a-279	Leg fat mass (left)	NA	NA	NA	Neale Lab	1	Neale	2017	SD	1	331275	10894596	European	Males and Females	NA	NA	HG19/GRCh37	public	NA	NA	NA	NA
results/ldsc/munged/pgc_mdd_full_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ieu-b-4877.hm3.sumstats.gz	0.3409	0.0168	20.3141	9.6568e-92	0.0689	0.0025	0.8833	0.0116	0.0479	0.0108	ieu-b-4877	smoking initiation	Behavioural	sample_size corresponds to the median effective sample size across SNPs, while ncases correspond to maximum reported ever smokers and ncontrols correspond to maximum reported never smokers in supplementary tables; the maximum reported sample size was 632802	Risk factor	GSCAN	NA	Liu M	2019	standardised log odds	NA	607291	11802365	European	Males and Females	30643251	EFO:0005670	HG19/GRCh37	public	311629	321173	NA	NA
results/ldsc/munged/pgc_mdd_full_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ukb-b-10093.hm3.sumstats.gz	0.5953	0.0164	36.2285	2.1677000000000002e-287	0.0556	0.0027	1.0125	0.0109	0.0487	0.0097	ukb-b-10093	Tense / 'highly strung'	NA	1990: Output from GWAS pipeline using Phesant derived variables from UKBiobank	Binary	MRC-IEU	1	Ben Elsworth	2018	SD	1	447961	9851867	European	Males and Females	NA	NA	HG19/GRCh37	public	78408	369553	NA	NA
results/ldsc/munged/pgc_mdd_full_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ukb-b-14177.hm3.sumstats.gz	0.1994	0.0159	12.5569	3.6425e-36	0.113	0.0051	1.0905	0.0234	5e-4	0.0097	ukb-b-14177	Vascular/heart problems diagnosed by doctor: High blood pressure	NA	6150#4: Output from GWAS pipeline using Phesant derived variables from UKBiobank	Binary	MRC-IEU	1	Ben Elsworth	2018	SD	1	461880	9851867	European	Males and Females	NA	NA	HG19/GRCh37	public	124227	337653	NA	NA
results/ldsc/munged/pgc_mdd_full_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ukb-a-275.hm3.sumstats.gz	-0.1931	0.0146	-13.2111	7.570199999999999e-40	0.2282	0.008	1.0639	0.0194	-0.0224	0.0107	ukb-a-275	Leg fat mass (right)	NA	NA	NA	Neale Lab	1	Neale	2017	SD	1	331293	10894596	European	Males and Females	NA	NA	HG19/GRCh37	public	NA	NA	NA	NA
results/ldsc/munged/pgc_mdd_full_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ukb-a-290.hm3.sumstats.gz	-0.1701	0.0144	-11.7914	4.3240999999999997e-32	0.2027	0.0077	1.0889	0.02	-0.0238	0.0102	ukb-a-290	Trunk fat percentage	NA	NA	NA	Neale Lab	1	Neale	2017	SD	1	331113	10894596	European	Males and Females	NA	NA	HG19/GRCh37	public	NA	NA	NA	NA
results/ldsc/munged/pgc_mdd_full_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ukb-b-14057.hm3.sumstats.gz	0.1961	0.0155	12.6469	1.1638e-36	0.1109	0.005	1.0874	0.024	0.0024	0.0094	ukb-b-14057	Non-cancer illness code, self-reported: hypertension	NA	20002#1065: Output from GWAS pipeline using Phesant derived variables from UKBiobank	Binary	MRC-IEU	1	Ben Elsworth	2018	SD	1	462933	9851867	European	Males and Females	NA	NA	HG19/GRCh37	public	119731	343202	NA	NA
results/ldsc/munged/pgc_mdd_full_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ukb-b-8909.hm3.sumstats.gz	0.1736	0.0137	12.652	1.0913e-36	0.2193	0.0069	1.1072	0.0237	0.0249	0.011	ukb-b-8909	Body fat percentage	NA	23099: Output from GWAS pipeline using Phesant derived variables from UKBiobank	Continuous	MRC-IEU	1	Ben Elsworth	2018	SD	1	454633	9851867	European	Males and Females	NA	NA	HG19/GRCh37	public	NA	NA	NA	NA
results/ldsc/munged/pgc_mdd_full_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ukb-b-13352.hm3.sumstats.gz	-0.223	0.0161	-13.8473	1.3209e-43	0.1098	0.0047	1.0882	0.0216	-2e-4	0.0096	ukb-b-13352	Vascular/heart problems diagnosed by doctor: None of the above	NA	6150#100: Output from GWAS pipeline using Phesant derived variables from UKBiobank	Binary	MRC-IEU	1	Ben Elsworth	2018	SD	1	461880	9851867	European	Males and Females	NA	NA	HG19/GRCh37	public	325118	136762	NA	NA
results/ldsc/munged/pgc_mdd_full_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ebi-a-GCST006952.hm3.sumstats.gz	0.585	0.0185	31.5734	8.5493e-219	0.0527	0.0024	1.0024	0.0087	0.0476	0.009	ebi-a-GCST006952	Feeling tense	NA	NA	NA	NA	0	Nagel M	2018	NA	1	371318	10824652	European	NA	29500382	NA	HG19/GRCh37	public	NA	NA	NA	NA
results/ldsc/munged/pgc_mdd_full_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ukb-b-18377.hm3.sumstats.gz	0.1945	0.014	13.9432	3.4604e-44	0.2069	0.006	1.0976	0.0202	0.0234	0.011	ukb-b-18377	Leg fat percentage (left)	NA	23115: Output from GWAS pipeline using Phesant derived variables from UKBiobank	Continuous	MRC-IEU	1	Ben Elsworth	2018	SD	1	454826	9851867	European	Males and Females	NA	NA	HG19/GRCh37	public	NA	NA	NA	NA
results/ldsc/munged/pgc_mdd_full_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ukb-b-20531.hm3.sumstats.gz	0.1982	0.014	14.2076	8.223299999999999e-46	0.207	0.0061	1.0999	0.0201	0.0214	0.0109	ukb-b-20531	Leg fat percentage (right)	NA	23111: Output from GWAS pipeline using Phesant derived variables from UKBiobank	Continuous	MRC-IEU	1	Ben Elsworth	2018	SD	1	454854	9851867	European	Males and Females	NA	NA	HG19/GRCh37	public	NA	NA	NA	NA
results/ldsc/munged/pgc_mdd_full_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ebi-a-GCST006943.hm3.sumstats.gz	0.6677	0.0164	40.7396	0	0.0594	0.0028	1.0085	0.0104	0.071	0.0095	ebi-a-GCST006943	Feeling miserable	NA	NA	NA	NA	0	Nagel M	2018	NA	1	376097	10824771	European	NA	29500382	NA	HG19/GRCh37	public	NA	NA	NA	NA
results/ldsc/munged/pgc_mdd_full_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ukb-b-5447.hm3.sumstats.gz	-0.0074	0.0175	-0.4253	0.6706	0.2823	0.0321	1.0406	0.0294	0.01	0.0093	ukb-b-5447	Heel broadband ultrasound attenuation (left)	NA	4101: Output from GWAS pipeline using Phesant derived variables from UKBiobank	Continuous	MRC-IEU	1	Ben Elsworth	2018	SD	1	146218	9851867	European	Males and Females	NA	NA	HG19/GRCh37	public	NA	NA	NA	NA
