"field_name"	"rls"	"Path"	"Category"	"Field"	"Participants"	"Items"	"Stability"	"ValueType"	"Units"	"ItemType"	"Strata"	"Sexed"	"Instances"	"Array"	"Coding"	"Notes"	"Link"	"category"	"field_tag"	"field_used"
20018	"ukb40531"	"UK Biobank Assessment Centre > Cognitive function > Prospective memory"	100031	"Prospective memory result"	211307	239452	"Complete"	"Categorical single"	""	"Data"	"Derived"	"Unisex"	4	1	18	"This field condenses the results of the prospective memory test into 3 groups. It does not distinguish between people who, at the first attempt, followed the on-screen instruction (thereby giving an incorrect result) and people who remembered to ignore the instruction but did not correctly recall what to do instead. Please see the constituent parts ~F4292~ and ~F4293~ if additional detail is required."	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20018"	"Cognition"	"20018"	"20018"
20023	"ukb40531"	"UK Biobank Assessment Centre > Cognitive function > Reaction time"	100032	"Mean time to correctly identify matches"	496850	564184	"Complete"	"Integer"	"milliseconds"	"Data"	"Derived"	"Unisex"	4	1	NA	"This field is the mean duration to first press of snap-button summed over rounds in which both cards matched. It gives a crude measure of the raw processing+reaction speed of a participant.   The following data points were excluded when forming the average:   Rounds 0-4 were regarded as \training\;   Times under 50ms must be due to anticipation rather than reaction;   Times over 2000ms were ignored as the cards had disappeared by then.     Values were rounded to the nearest whole number."	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20023"	"Cognition"	"20023"	"20023"
20131	"ukb24262"	"Online follow-up > Cognitive function online > Pairs matching"	117	"Number of correct matches in round"	118535	252034	"Complete"	"Integer"	""	"Data"	"Primary"	"Unisex"	1	3	NA	"This is the number of correct matches in the round. It should always be 3 for a 2x3 game and 6 for a 3x4 game, unless the participant abandoned before finishing."	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20131"	"Cognition"	"20131"	"20131"
20132	"ukb24262"	"Online follow-up > Cognitive function online > Pairs matching"	117	"Number of incorrect matches in round"	118535	252034	"Complete"	"Integer"	""	"Data"	"Primary"	"Unisex"	1	3	NA	"A value of 0 indicates the participant made no mistakes."	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20132"	"Cognition"	"20132"	"20132"
20133	"ukb24262"	"Online follow-up > Cognitive function online > Pairs matching"	117	"Time to complete round"	118535	252034	"Complete"	"Integer"	"deciseconds"	"Data"	"Primary"	"Unisex"	1	3	485	"These timings were made using Javascript Date.getTime() running in a web-browser on the participants own equipment, and researchers should read ~R501~ before making use of this data. Timings which have obviously been affected by the issues discussed have been flagged as Invalid."	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20133"	"Cognition"	"20133"	"20133"
20159	"ukb24262"	"Online follow-up > Cognitive function online > Symbol digit substitution"	122	"Number of symbol digit matches made correctly"	118473	118473	"Complete"	"Integer"	"correct-answers"	"Data"	"Primary"	"Unisex"	1	1	NA	"This is the number of times a participant correctly matched a symbol with a digit summed across all the rounds of the test that they performed, excluding the initial 8 items corresponding to the training round."	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20159"	"Cognition"	"20159"	"20159"
20191	"ukb24262"	"Online follow-up > Cognitive function online > Fluid intelligence / reasoning"	118	"Fluid intelligence score"	123621	123621	"Complete"	"Integer"	"correct-answers"	"Data"	"Derived"	"Unisex"	1	1	NA	"This is a simple unweighted sum of the number of correct answers given to the 13 fluid intelligence questions. Participants who did not answer all of the questions within the allotted 2 minute limit are scored as zero for each of the unattempted questions."	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20191"	"Cognition"	"20191"	"20191"
20230	"ukb24262"	"Online follow-up > Cognitive function online > Symbol digit substitution"	122	"Duration to entering value"	118793	3350042	"Complete"	"Integer"	"milliseconds"	"Data"	"Primary"	"Unisex"	1	117	NA	"This is the time in milliseconds between the participant being shown a pattern and their entering this value. The counter is reset to zero at the beginning of each round (i.e. when a new pattern is displayed).   These timings were made using Javascript Date.getTime() running in a web-browser on the participants own equipment, and researchers should read ~R501~ before making use of this data. Timings which have obviously been affected by the issues discussed have been flagged as Invalid."	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20230"	"Cognition"	"20230"	"20230"
20240	"ukb24262"	"Online follow-up > Cognitive function online > Numeric memory"	120	"Maximum digits remembered correctly"	111068	111068	"Complete"	"Integer"	""	"Data"	"Primary"	"Unisex"	1	1	NA	"Longest number correctly recalled during the numeric memory test. A value of -1 is recorded if the participant chose to abandon the test before completing the first round."	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20240"	"Cognition"	"20240"	"20240"
21004	"ukb40531"	"UK Biobank Assessment Centre > Cognitive function > Tower rearranging"	503	"Number of puzzles correct"	32210	34368	"Accruing"	"Integer"	"correct-answers"	"Data"	"Derived"	"Unisex"	2	1	NA	"Number of puzzles correct, scored from the participant answers in ~F6312~."	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=21004"	"Cognition"	"21004"	"21004"
23324	"ukb40531"	"UK Biobank Assessment Centre > Cognitive function > Symbol digit substitution"	502	"Number of symbol digit matches made correctly"	32501	34662	"Accruing"	"Integer"	"correct-answers"	"Data"	"Derived"	"Unisex"	2	1	NA	"This is the number of symbols correctly matched to digits by the participant.   Note that it would be possible to get a high score here simply by repeated entering \1\ very quickly as it would be correct 1/8 of the time and a large number of attempts could be made. For this reason, the score must be interpreted alongside ~F6774~ which shows the total number of attempts."	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23324"	"Cognition"	"23324"	"23324"
20148	"ukb24262"	"Online follow-up > Cognitive function online > Trail making"	121	"Errors before selecting correct item in alphanumeric path (trail #2)"	42774	72326	"Complete"	"Integer"	"error-count"	"Data"	"Primary"	"Unisex"	1	25	NA	"Errors before selecting correct item in alphanumeric path (trail #2). Only values greater than zero are recorded."	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20148"	"Cognition"	"20148.diffs"	"20157,20156"
20155	"ukb24262"	"Online follow-up > Cognitive function online > Trail making"	121	"Interval between previous point and current one in alphanumeric path (trail #2)"	110408	2724707	"Complete"	"Integer"	"milliseconds"	"Data"	"Primary"	"Unisex"	1	25	485	"These timings were made using Javascript Date.getTime() running in a web-browser on the participants own equipment, and researchers should read ~R501~ before making use of this data. Timings which have obviously been affected by the issues discussed have been flagged as Invalid."	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20155"	"Cognition"	"20155.diffs"	"20248,20247"
20157	"ukb24262"	"Online follow-up > Cognitive function online > Trail making"	121	"Duration to complete alphanumeric path (trail #2)"	104034	104034	"Complete"	"Continuous"	"seconds"	"Data"	"Derived"	"Unisex"	1	1	NA	"Derived by summing the values in ~F20155~"	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20157"	"Cognition"	"20157.diffs"	"20155,20149"
20248	"ukb24262"	"Online follow-up > Cognitive function online > Trail making"	121	"Total errors traversing alphanumeric path (trail #2)"	42774	42774	"Complete"	"Integer"	"error-count"	"Data"	"Derived"	"Unisex"	1	1	NA	"Total errors made while traversing alphanumeric path. Only participants who made at least one error have data recorded in this field."	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20248"	"Cognition"	"20248.diffs"	"20148,20147"
