field_name	rls	Path	Category	Field	Participants	Items	Stability	ValueType	Units	ItemType	Strata	Sexed	Instances	Array	Coding	Notes	Link
2020	ukb40531	UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health	100060	Loneliness, isolation	501616	572242	Complete	Categorical single		Data	Primary	Unisex	4	1	100349	ACE touchscreen question "Do you often feel lonely?" If the participant activated the Help button they were shown the message:     Work through these questions quickly and do not think about the exact meaning of the question     	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2020
2030	ukb40531	UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health	100060	Guilty feelings	501616	572242	Complete	Categorical single		Data	Primary	Unisex	4	1	100349	ACE touchscreen question "Are you often troubled by feelings of guilt?" If the participant activated the Help button they were shown the message:     Work through these questions quickly and do not think about the exact meaning of the question     	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2030
2040	ukb40531	UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health	100060	Risk taking	501616	572242	Complete	Categorical single		Data	Primary	Unisex	4	1	100349	ACE touchscreen question "Would you describe yourself as someone who takes risks?" If the participant activated the Help button they were shown the message:     Work through these questions quickly and do not think about the exact meaning of the question     	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2040
2050	ukb40531	UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health	100060	Frequency of depressed mood in last 2 weeks	501616	572242	Complete	Categorical single		Data	Primary	Unisex	4	1	100484	ACE touchscreen question "Over the past two weeks, how often have you felt down, depressed or hopeless?" If the participant activated the Help button they were shown the message:     Answer this question thinking about the past 2 weeks. If you are unsure, please provide an estimate or select Do not know.      	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2050
2060	ukb40531	UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health	100060	Frequency of unenthusiasm / disinterest in last 2 weeks	501615	572241	Complete	Categorical single		Data	Primary	Unisex	4	1	100484	ACE touchscreen question "Over the past two weeks, how often have you had little interest or pleasure in doing things?" If the participant activated the Help button they were shown the message:     Answer this question thinking about the past 2 weeks. If you are unsure, please provide an estimate or select Do not know.      	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2060
2070	ukb40531	UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health	100060	Frequency of tenseness / restlessness in last 2 weeks	501614	572240	Complete	Categorical single		Data	Primary	Unisex	4	1	100484	ACE touchscreen question "Over the past two weeks, how often have you felt tense, fidgety or restless?" If the participant activated the Help button they were shown the message:     Answer this question thinking about the past 2 weeks. If you are unsure, please provide an estimate or select Do not know.      	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2070
2080	ukb40531	UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health	100060	Frequency of tiredness / lethargy in last 2 weeks	501613	572239	Complete	Categorical single		Data	Primary	Unisex	4	1	100484	ACE touchscreen question "Over the past two weeks, how often have you felt tired or had little energy?" If the participant activated the Help button they were shown the message:     Answer this question thinking about the past 2 weeks. If you are unsure, please provide an estimate or select Do not know.      	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2080
2090	ukb40531	UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health	100060	Seen doctor (GP) for nerves, anxiety, tension or depression	501612	572238	Complete	Categorical single		Data	Primary	Unisex	4	1	100349	ACE touchscreen question "Have you ever seen a general practitioner (GP) for nerves, anxiety, tension or depression?"	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2090
2100	ukb40531	UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health	100060	Seen a psychiatrist for nerves, anxiety, tension or depression	501612	572238	Complete	Categorical single		Data	Primary	Unisex	4	1	100349	ACE touchscreen question "Have you ever seen a psychiatrist for nerves, anxiety, tension or depression?"	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2100
5986	ukb40531	UK Biobank Assessment Centre > Physical measures > ECG during exercise	100012	ECG, phase time	95142	5758642	Complete	Integer	seconds	Data	Primary	Unisex	2	114	NA	ECG, phase time The Bike Test consists of many phases. A phase is generally divided into number of stages. At various points during the test, called trends, readings about heart rate, workload etc are recorded. This field contains the time spent within the phase of the trend entry.	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5986
5987	ukb40531	UK Biobank Assessment Centre > Physical measures > ECG during exercise	100012	ECG, trend phase name	95136	5758636	Complete	Text		Data	Primary	Unisex	2	114	NA	ECG, phase name The Bike Test consists of many phases. A phase is generally divided into number of stages. At various points during the test, called trends, readings about heart rate, workload etc are recorded. This field contains the name of the phase when trend entry is taken.	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5987
5988	ukb40531	UK Biobank Assessment Centre > Physical measures > ECG during exercise	100012	ECG, stage name	95136	5758636	Complete	Text		Data	Primary	Unisex	2	114	NA	ECG, stage name The Bike Test consists of many phases. A phase is generally divided into number of stages. At various points during the test, called trends, readings about heart rate, workload etc are recorded alongwith the stage name. This field contains the name of the stage when trend entry is taken.	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5988
5991	ukb40531	UK Biobank Assessment Centre > Physical measures > ECG during exercise	100012	ECG, phase name	95142	294090	Complete	Text		Data	Primary	Unisex	2	3	NA	ECG, phase name Bike test generally consists of many phases. This field contains phase name.	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5991
5992	ukb40531	UK Biobank Assessment Centre > Physical measures > ECG during exercise	100012	ECG, phase duration	95142	294090	Complete	Integer		Data	Primary	Unisex	2	3	NA	ECG, phase duration The exercise test consists of many phases. This field contains the duration of a phase in seconds in an exercise test.	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5992
5993	ukb40531	UK Biobank Assessment Centre > Physical measures > ECG during exercise	100012	ECG, number of stages in a phase	95142	294090	Complete	Integer		Data	Primary	Unisex	2	3	NA	ECG, number of stages in a phase The Bike Test consists many phases. A phase is generally divided into number of stages. This field shows total number of stages within a phase.	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5993
90019	ukb24262	Additional exposures > Physical activity measurement > Acceleration averages	1009	Monday average acceleration	103687	103687	Accruing	Continuous	milli-gravity	Data	Derived	Unisex	1	1	NA	Monday acceleration	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=90019
90020	ukb24262	Additional exposures > Physical activity measurement > Acceleration averages	1009	Tuesday average acceleration	103687	103687	Accruing	Continuous	milli-gravity	Data	Derived	Unisex	1	1	NA	Tuesday acceleration	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=90020
90021	ukb24262	Additional exposures > Physical activity measurement > Acceleration averages	1009	Wednesday average acceleration	103687	103687	Accruing	Continuous	milli-gravity	Data	Derived	Unisex	1	1	NA	Wednesday acceleration	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=90021
90022	ukb24262	Additional exposures > Physical activity measurement > Acceleration averages	1009	Thursday average acceleration	103687	103687	Accruing	Continuous	milli-gravity	Data	Derived	Unisex	1	1	NA	Thursday acceleration	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=90022
90023	ukb24262	Additional exposures > Physical activity measurement > Acceleration averages	1009	Friday average acceleration	103687	103687	Accruing	Continuous	milli-gravity	Data	Derived	Unisex	1	1	NA	Friday acceleration	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=90023
90024	ukb24262	Additional exposures > Physical activity measurement > Acceleration averages	1009	Saturday average acceleration	103687	103687	Accruing	Continuous	milli-gravity	Data	Derived	Unisex	1	1	NA	Saturday acceleration	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=90024
90025	ukb24262	Additional exposures > Physical activity measurement > Acceleration averages	1009	Sunday average acceleration	103687	103687	Accruing	Continuous	milli-gravity	Data	Derived	Unisex	1	1	NA	Sunday acceleration	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=90025
90026	ukb24262	Additional exposures > Physical activity measurement > Accelerometer wear time duration	1011	First weekday of wear	103687	103687	Accruing	Categorical single		Data	Derived	Unisex	1	1	777	First weekday of wearing device.	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=90026
90027	ukb24262	Additional exposures > Physical activity measurement > Acceleration averages	1009	Average acceleration 00:00 - 00:59	103687	103687	Accruing	Continuous	milli-gravity	Data	Derived	Unisex	1	1	NA	00:00 - 00:59 acceleration average	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=90027
90028	ukb24262	Additional exposures > Physical activity measurement > Acceleration averages	1009	Average acceleration 01:00 - 01:59	103687	103687	Accruing	Continuous	milli-gravity	Data	Derived	Unisex	1	1	NA	01:00 - 01:59 acceleration average	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=90028
90029	ukb24262	Additional exposures > Physical activity measurement > Acceleration averages	1009	Average acceleration 02:00 - 02:59	103687	103687	Accruing	Continuous	milli-gravity	Data	Derived	Unisex	1	1	NA	02:00 - 02:59 acceleration average	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=90029
90030	ukb24262	Additional exposures > Physical activity measurement > Acceleration averages	1009	Average acceleration 03:00 - 03:59	103687	103687	Accruing	Continuous	milli-gravity	Data	Derived	Unisex	1	1	NA	03:00 - 03:59 acceleration average	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=90030
90031	ukb24262	Additional exposures > Physical activity measurement > Acceleration averages	1009	Average acceleration 04:00 - 04:59	103687	103687	Accruing	Continuous	milli-gravity	Data	Derived	Unisex	1	1	NA	04:00 - 04:59 acceleration average	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=90031
90032	ukb24262	Additional exposures > Physical activity measurement > Acceleration averages	1009	Average acceleration 05:00 - 05:59	103687	103687	Accruing	Continuous	milli-gravity	Data	Derived	Unisex	1	1	NA	05:00 - 05:59 acceleration average	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=90032
90033	ukb24262	Additional exposures > Physical activity measurement > Acceleration averages	1009	Average acceleration 06:00 - 06:59	103687	103687	Accruing	Continuous	milli-gravity	Data	Derived	Unisex	1	1	NA	06:00 - 06:59 acceleration average	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=90033
90034	ukb24262	Additional exposures > Physical activity measurement > Acceleration averages	1009	Average acceleration 07:00 - 07:59	103687	103687	Accruing	Continuous	milli-gravity	Data	Derived	Unisex	1	1	NA	07:00 - 07:59 acceleration average	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=90034
90035	ukb24262	Additional exposures > Physical activity measurement > Acceleration averages	1009	Average acceleration 08:00 - 08:59	103687	103687	Accruing	Continuous	milli-gravity	Data	Derived	Unisex	1	1	NA	08:00 - 08:59 acceleration average	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=90035
90036	ukb24262	Additional exposures > Physical activity measurement > Acceleration averages	1009	Average acceleration 09:00 - 09:59	103687	103687	Accruing	Continuous	milli-gravity	Data	Derived	Unisex	1	1	NA	09:00 - 09:59 acceleration average	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=90036
90037	ukb24262	Additional exposures > Physical activity measurement > Acceleration averages	1009	Average acceleration 10:00 - 10:59	103687	103687	Accruing	Continuous	milli-gravity	Data	Derived	Unisex	1	1	NA	10:00 - 10:59 acceleration average	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=90037
90038	ukb24262	Additional exposures > Physical activity measurement > Acceleration averages	1009	Average acceleration 11:00 - 11:59	103687	103687	Accruing	Continuous	milli-gravity	Data	Derived	Unisex	1	1	NA	11:00 - 11:59 acceleration average	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=90038
90039	ukb24262	Additional exposures > Physical activity measurement > Acceleration averages	1009	Average acceleration 12:00 - 12:59	103687	103687	Accruing	Continuous	milli-gravity	Data	Derived	Unisex	1	1	NA	12:00 - 12:59 acceleration average	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=90039
90040	ukb24262	Additional exposures > Physical activity measurement > Acceleration averages	1009	Average acceleration 13:00 - 13:59	103687	103687	Accruing	Continuous	milli-gravity	Data	Derived	Unisex	1	1	NA	13:00 - 13:59 acceleration average	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=90040
90041	ukb24262	Additional exposures > Physical activity measurement > Acceleration averages	1009	Average acceleration 14:00 - 14:59	103687	103687	Accruing	Continuous	milli-gravity	Data	Derived	Unisex	1	1	NA	14:00 - 14:59 acceleration average	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=90041
90042	ukb24262	Additional exposures > Physical activity measurement > Acceleration averages	1009	Average acceleration 15:00 - 15:59	103687	103687	Accruing	Continuous	milli-gravity	Data	Derived	Unisex	1	1	NA	15:00 - 15:59 acceleration average	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=90042
90043	ukb24262	Additional exposures > Physical activity measurement > Acceleration averages	1009	Average acceleration 16:00 - 16:59	103687	103687	Accruing	Continuous	milli-gravity	Data	Derived	Unisex	1	1	NA	16:00 - 16:59 acceleration average	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=90043
90044	ukb24262	Additional exposures > Physical activity measurement > Acceleration averages	1009	Average acceleration 17:00 - 17:59	103687	103687	Accruing	Continuous	milli-gravity	Data	Derived	Unisex	1	1	NA	17:00 - 17:59 acceleration average	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=90044
90045	ukb24262	Additional exposures > Physical activity measurement > Acceleration averages	1009	Average acceleration 18:00 - 18:59	103687	103687	Accruing	Continuous	milli-gravity	Data	Derived	Unisex	1	1	NA	18:00 - 18:59 acceleration average	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=90045
90046	ukb24262	Additional exposures > Physical activity measurement > Acceleration averages	1009	Average acceleration 19:00 - 19:59	103687	103687	Accruing	Continuous	milli-gravity	Data	Derived	Unisex	1	1	NA	19:00 - 19:59 acceleration average	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=90046
90047	ukb24262	Additional exposures > Physical activity measurement > Acceleration averages	1009	Average acceleration 20:00 - 20:59	103687	103687	Accruing	Continuous	milli-gravity	Data	Derived	Unisex	1	1	NA	20:00 - 20:59 acceleration average	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=90047
90048	ukb24262	Additional exposures > Physical activity measurement > Acceleration averages	1009	Average acceleration 21:00 - 21:59	103687	103687	Accruing	Continuous	milli-gravity	Data	Derived	Unisex	1	1	NA	21:00 - 21:59 acceleration average	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=90048
90049	ukb24262	Additional exposures > Physical activity measurement > Acceleration averages	1009	Average acceleration 22:00 - 22:59	103687	103687	Accruing	Continuous	milli-gravity	Data	Derived	Unisex	1	1	NA	22:00 - 22:59 acceleration average	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=90049
90050	ukb24262	Additional exposures > Physical activity measurement > Acceleration averages	1009	Average acceleration 23:00 - 23:59	103687	103687	Accruing	Continuous	milli-gravity	Data	Derived	Unisex	1	1	NA	23:00 - 23:59 acceleration average	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=90050
90052	ukb24262	Additional exposures > Physical activity measurement > Accelerometer wear time duration	1011	Non wear duration overall	103687	103687	Accruing	Continuous	days	Data	Derived	Unisex	1	1	NA	Non wear time overall	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=90052
90053	ukb24262	Additional exposures > Physical activity measurement > Accelerometer wear time duration	1011	Wear duration during Monday	103687	103687	Accruing	Continuous	hours	Data	Derived	Unisex	1	1	NA	Monday wear time	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=90053
90054	ukb24262	Additional exposures > Physical activity measurement > Accelerometer wear time duration	1011	Wear duration during Tuesday	103687	103687	Accruing	Continuous	hours	Data	Derived	Unisex	1	1	NA	Tuesday wear time	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=90054
90055	ukb24262	Additional exposures > Physical activity measurement > Accelerometer wear time duration	1011	Wear duration during Wednesday	103687	103687	Accruing	Continuous	hours	Data	Derived	Unisex	1	1	NA	Wednesday wear time	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=90055
90056	ukb24262	Additional exposures > Physical activity measurement > Accelerometer wear time duration	1011	Wear duration during Thursday	103687	103687	Accruing	Continuous	hours	Data	Derived	Unisex	1	1	NA	Thursday wear time	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=90056
90057	ukb24262	Additional exposures > Physical activity measurement > Accelerometer wear time duration	1011	Wear duration during Friday	103687	103687	Accruing	Continuous	hours	Data	Derived	Unisex	1	1	NA	Friday wear time	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=90057
90058	ukb24262	Additional exposures > Physical activity measurement > Accelerometer wear time duration	1011	Wear duration during Saturday	103687	103687	Accruing	Continuous	hours	Data	Derived	Unisex	1	1	NA	Saturday wear time	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=90058
90059	ukb24262	Additional exposures > Physical activity measurement > Accelerometer wear time duration	1011	Wear duration during Sunday	103687	103687	Accruing	Continuous	hours	Data	Derived	Unisex	1	1	NA	Sunday wear time	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=90059
90060	ukb24262	Additional exposures > Physical activity measurement > Accelerometer wear time duration	1011	Wear duration during 00:00 - 00:59	103687	103687	Accruing	Continuous	hours	Data	Derived	Unisex	1	1	NA	00:00 - 00:59 wear time	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=90060
90061	ukb24262	Additional exposures > Physical activity measurement > Accelerometer wear time duration	1011	Wear duration during 01:00 - 01:59	103687	103687	Accruing	Continuous	hours	Data	Derived	Unisex	1	1	NA	01:00 - 01:59 wear time	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=90061
90062	ukb24262	Additional exposures > Physical activity measurement > Accelerometer wear time duration	1011	Wear duration during 02:00 - 02:59	103687	103687	Accruing	Continuous	hours	Data	Derived	Unisex	1	1	NA	02:00 - 02:59 wear time	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=90062
90063	ukb24262	Additional exposures > Physical activity measurement > Accelerometer wear time duration	1011	Wear duration during 03:00 - 03:59	103687	103687	Accruing	Continuous	hours	Data	Derived	Unisex	1	1	NA	03:00 - 03:59 wear time	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=90063
90064	ukb24262	Additional exposures > Physical activity measurement > Accelerometer wear time duration	1011	Wear duration during 04:00 - 04:59	103687	103687	Accruing	Continuous	hours	Data	Derived	Unisex	1	1	NA	04:00 - 04:59 wear time	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=90064
90065	ukb24262	Additional exposures > Physical activity measurement > Accelerometer wear time duration	1011	Wear duration during 05:00 - 05:59	103687	103687	Accruing	Continuous	hours	Data	Derived	Unisex	1	1	NA	05:00 - 05:59 wear time	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=90065
90066	ukb24262	Additional exposures > Physical activity measurement > Accelerometer wear time duration	1011	Wear duration during 06:00 - 06:59	103687	103687	Accruing	Continuous	hours	Data	Derived	Unisex	1	1	NA	06:00 - 06:59 wear time	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=90066
90067	ukb24262	Additional exposures > Physical activity measurement > Accelerometer wear time duration	1011	Wear duration during 07:00 - 07:59	103687	103687	Accruing	Continuous	hours	Data	Derived	Unisex	1	1	NA	07:00 - 07:59 wear time	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=90067
90068	ukb24262	Additional exposures > Physical activity measurement > Accelerometer wear time duration	1011	Wear duration during 08:00 - 08:59	103687	103687	Accruing	Continuous	hours	Data	Derived	Unisex	1	1	NA	08:00 - 08:59 wear time	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=90068
90069	ukb24262	Additional exposures > Physical activity measurement > Accelerometer wear time duration	1011	Wear duration during 09:00 - 09:59	103687	103687	Accruing	Continuous	hours	Data	Derived	Unisex	1	1	NA	09:00 - 09:59 wear time	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=90069
90070	ukb24262	Additional exposures > Physical activity measurement > Accelerometer wear time duration	1011	Wear duration during 10:00 - 10:59	103687	103687	Accruing	Continuous	hours	Data	Derived	Unisex	1	1	NA	10:00 - 10:59 wear time	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=90070
90071	ukb24262	Additional exposures > Physical activity measurement > Accelerometer wear time duration	1011	Wear duration during 11:00 - 11:59	103687	103687	Accruing	Continuous	hours	Data	Derived	Unisex	1	1	NA	11:00 - 11:59 wear time	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=90071
90072	ukb24262	Additional exposures > Physical activity measurement > Accelerometer wear time duration	1011	Wear duration during 12:00 - 12:59	103687	103687	Accruing	Continuous	hours	Data	Derived	Unisex	1	1	NA	12:00 - 12:59 wear time	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=90072
90073	ukb24262	Additional exposures > Physical activity measurement > Accelerometer wear time duration	1011	Wear duration during 13:00 - 13:59	103687	103687	Accruing	Continuous	hours	Data	Derived	Unisex	1	1	NA	13:00 - 13:59 wear time	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=90073
90074	ukb24262	Additional exposures > Physical activity measurement > Accelerometer wear time duration	1011	Wear duration during 14:00 - 14:59	103687	103687	Accruing	Continuous	hours	Data	Derived	Unisex	1	1	NA	14:00 - 14:59 wear time	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=90074
90075	ukb24262	Additional exposures > Physical activity measurement > Accelerometer wear time duration	1011	Wear duration during 15:00 - 15:59	103687	103687	Accruing	Continuous	hours	Data	Derived	Unisex	1	1	NA	15:00 - 15:59 wear time	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=90075
90076	ukb24262	Additional exposures > Physical activity measurement > Accelerometer wear time duration	1011	Wear duration during 16:00 - 16:59	103687	103687	Accruing	Continuous	hours	Data	Derived	Unisex	1	1	NA	16:00 - 16:59 wear time	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=90076
90077	ukb24262	Additional exposures > Physical activity measurement > Accelerometer wear time duration	1011	Wear duration during 17:00 - 17:59	103687	103687	Accruing	Continuous	hours	Data	Derived	Unisex	1	1	NA	17:00 - 17:59 wear time	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=90077
90078	ukb24262	Additional exposures > Physical activity measurement > Accelerometer wear time duration	1011	Wear duration during 18:00 - 18:59	103687	103687	Accruing	Continuous	hours	Data	Derived	Unisex	1	1	NA	18:00 - 18:59 wear time	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=90078
90079	ukb24262	Additional exposures > Physical activity measurement > Accelerometer wear time duration	1011	Wear duration during 19:00 - 19:59	103687	103687	Accruing	Continuous	hours	Data	Derived	Unisex	1	1	NA	19:00 - 19:59 wear time	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=90079
90080	ukb24262	Additional exposures > Physical activity measurement > Accelerometer wear time duration	1011	Wear duration during 20:00 - 20:59	103687	103687	Accruing	Continuous	hours	Data	Derived	Unisex	1	1	NA	20:00 - 20:59 wear time	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=90080
90081	ukb24262	Additional exposures > Physical activity measurement > Accelerometer wear time duration	1011	Wear duration during 21:00 - 21:59	103687	103687	Accruing	Continuous	hours	Data	Derived	Unisex	1	1	NA	21:00 - 21:59 wear time	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=90081
90082	ukb24262	Additional exposures > Physical activity measurement > Accelerometer wear time duration	1011	Wear duration during 22:00 - 22:59	103687	103687	Accruing	Continuous	hours	Data	Derived	Unisex	1	1	NA	22:00 - 22:59 wear time	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=90082
