"field_name"	"rls"	"Path"	"Category"	"Field"	"Participants"	"Items"	"Stability"	"ValueType"	"Units"	"ItemType"	"Strata"	"Sexed"	"Instances"	"Array"	"Coding"	"Notes"	"Link"	"category"	"field_tag"	"fields_used"
25737	"ukb40531"	"UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI"	107	"Discrepancy between dMRI brain image and T1 brain image"	38052	39468	"Accruing"	"Continuous"	"AU"	"Data"	"Derived"	"Unisex"	2	1	NA	"Discrepancy between the (EPI-unwarped b=0) dMRI brain image (linearly-aligned to the T1) and the T1 brain image"	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25737"	"Brain imaging QC and covariates"	"25737"	"25737"
25738	"ukb40531"	"UK Biobank Assessment Centre > Imaging > Brain MRI > Susceptibility weighted brain MRI"	109	"Discrepancy between SWI brain image and T1 brain image"	35507	36494	"Accruing"	"Continuous"	"AU"	"Data"	"Derived"	"Unisex"	2	1	NA	"Discrepancy between the (magnitude) SWI brain image (linearly-aligned to the T1) and the T1 brain image"	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25738"	"Brain imaging QC and covariates"	"25738"	"25738"
25740	"ukb40531"	"UK Biobank Assessment Centre > Imaging > Brain MRI > Task functional brain MRI"	106	"Discrepancy between tfMRI brain image and T1 brain image"	32994	34288	"Accruing"	"Continuous"	"AU"	"Data"	"Derived"	"Unisex"	2	1	NA	"Discrepancy between the (EPI-unwarped SBref) tfMRI brain image (linearly-aligned to the T1) and the T1 brain image"	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25740"	"Brain imaging QC and covariates"	"25740"	"25740"
25741	"ukb40531"	"UK Biobank Assessment Centre > Imaging > Brain MRI > Resting functional brain MRI"	111	"Mean rfMRI head motion, averaged across space and time points"	37967	39380	"Accruing"	"Continuous"	"mm"	"Data"	"Derived"	"Unisex"	2	1	NA	"Mean rfMRI head motion, averaged across space and time points"	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25741"	"Brain imaging QC and covariates"	"25741"	"25741"
25743	"ukb40531"	"UK Biobank Assessment Centre > Imaging > Brain MRI > Resting functional brain MRI"	111	"Inverted temporal signal-to-noise ratio in pre-processed rfMRI"	37967	39380	"Accruing"	"Continuous"	"ratio"	"Data"	"Derived"	"Unisex"	2	1	NA	"Inverted temporal signal-to-noise ratio in the pre-processed rfMRI. Reciprocal of median (across brain voxels) of voxelwise mean intensity divided by voxelwise time-series standard deviation"	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25743"	"Brain imaging QC and covariates"	"25743"	"25743"
25744	"ukb40531"	"UK Biobank Assessment Centre > Imaging > Brain MRI > Resting functional brain MRI"	111	"Inverted temporal signal-to-noise ratio in artefact-cleaned pre-processed rfMRI"	37965	39378	"Accruing"	"Continuous"	"ratio"	"Data"	"Derived"	"Unisex"	2	1	NA	"Inverted temporal signal-to-noise ratio in the artefact-cleaned pre-processed rfMRI. Reciprocal of median (across brain voxels) of voxelwise mean intensity divided by voxelwise time-series standard deviation"	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25744"	"Brain imaging QC and covariates"	"25744"	"25744"
25746	"ukb40531"	"UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI"	107	"Number of dMRI outlier slices detected and corrected"	37525	38941	"Accruing"	"Integer"	"slices"	"Data"	"Derived"	"Unisex"	2	1	NA	"Number of dMRI outlier slices (across all slices in all volumes) detected and corrected"	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25746"	"Brain imaging QC and covariates"	"25746"	"25746"
25756	"ukb40531"	"UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI"	110	"Scanner lateral (X) brain position"	40679	42181	"Accruing"	"Continuous"	"Units"	"Data"	"Auxiliary"	"Unisex"	2	1	1317	"The exact location of the head and the radio-frequency receive coil in the scanner can affect data quality and imaging-derived phenotypes. To help account for variations in position in different scanned participants, several variables have been generated which describe aspects of the positioning and can be used as \"confounding variables\" - for example they might be regressed out of brain phenotypes before carrying out correlations between these and non-imaging variables.   The lateral brain position is the X-co-ordinate (left-right) of the centre of the brain mask within the scanner."	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25756"	"Brain imaging QC and covariates"	"25756"	"25756"
25757	"ukb40531"	"UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI"	110	"Scanner transverse (Y) brain position"	40679	42181	"Accruing"	"Continuous"	"Units"	"Data"	"Auxiliary"	"Unisex"	2	1	1317	"The exact location of the head and the radio-frequency receive coil in the scanner can affect data quality and imaging-derived phenotypes. To help account for variations in position in different scanned participants, several variables have been generated which describe aspects of the positioning and can be used as \"confounding variables\" - for example they might be regressed out of brain phenotypes before carrying out correlations between these and non-imaging variables.   The transverse brain position is the Y-co-ordinate (front-back relative to head) of the back of the brain mask within the scanner."	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25757"	"Brain imaging QC and covariates"	"25757"	"25757"
25758	"ukb40531"	"UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI"	110	"Scanner longitudinal (Z) brain position"	40679	42181	"Accruing"	"Continuous"	"Units"	"Data"	"Auxiliary"	"Unisex"	2	1	1317	"The exact location of the head and the radio-frequency receive coil in the scanner can affect data quality and imaging-derived phenotypes. To help account for variations in position in different scanned participants, several variables have been generated which describe aspects of the positioning and can be used as \"confounding variables\" - for example they might be regressed out of brain phenotypes before carrying out correlations between these and non-imaging variables.   The longitudinal brain position is the Z-co-ordinate of the centre of the brain mask within the scanner. The Z axis points down the centre of the magnet."	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25758"	"Brain imaging QC and covariates"	"25758"	"25758"
25759	"ukb40531"	"UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI"	110	"Scanner table position"	40773	42276	"Accruing"	"Continuous"	"Units"	"Data"	"Auxiliary"	"Unisex"	2	1	1317	"The exact location of the head and the radio-frequency receive coil in the scanner can affect data quality and imaging-derived phenotypes. To help account for variations in position in different scanned participants, several variables have been generated which describe aspects of the positioning and can be used as \"confounding variables\" - for example they might be regressed out of brain phenotypes before carrying out correlations between these and non-imaging variables.   The table position is the Z-co-ordinate of the coil (and the scanner table that the coil sits on) within the scanner. The Z axis points down the centre of the magnet."	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25759"	"Brain imaging QC and covariates"	"25759"	"25759"
25780	"ukb40531"	"UK Biobank Assessment Centre > Imaging > Brain MRI"	100	"Acquisition protocol phase."	4522	4522	"Accruing"	"Categorical single"	""	"Data"	"Supporting"	"Unisex"	1	1	778	"The acquisition protocol Phase number. Only dMRI (~L107~) and T2_FLAIR (~L112~) from Phase 2 are not compatible across all versions, and Quality Control measures and derived phenotypes are not generated for these."	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25780"	"Brain imaging QC and covariates"	"25780"	"25780"
25781	"ukb40531"	"UK Biobank Assessment Centre > Imaging > Brain MRI > T2-weighted brain MRI"	112	"Total volume of white matter hyperintensities (from T1 and T2_FLAIR images)"	38426	39841	"Accruing"	"Continuous"	"mm3"	"Data"	"Derived"	"Unisex"	2	1	NA	"Total volume of white matter hyperintensities (from T1 and T2_FLAIR images)"	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25781"	"Brain imaging QC and covariates"	"25781"	"25781"
25001	"ukb40531"	"UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI"	110	"Volume of peripheral cortical grey matter (normalised for head size)"	39772	41199	"Accruing"	"Continuous"	"mm3"	"Data"	"Derived"	"Unisex"	2	1	NA	"Volume of peripheral cortical grey matter (from T1 brain image, normalised for head size)"	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25001"	"Bulk brain-tissue measures"	"25001"	"25001"
25002	"ukb40531"	"UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI"	110	"Volume of peripheral cortical grey matter"	39772	41199	"Accruing"	"Continuous"	"mm3"	"Data"	"Derived"	"Unisex"	2	1	NA	"Volume of peripheral cortical grey matter (from T1 brain image)"	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25002"	"Bulk brain-tissue measures"	"25002"	"25002"
25003	"ukb40531"	"UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI"	110	"Volume of ventricular cerebrospinal fluid (normalised for head size)"	39772	41199	"Accruing"	"Continuous"	"mm3"	"Data"	"Derived"	"Unisex"	2	1	NA	"Volume of ventricular cerebrospinal fluid (from T1 brain image, normalised for head size)"	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25003"	"Bulk brain-tissue measures"	"25003"	"25003"
25004	"ukb40531"	"UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI"	110	"Volume of ventricular cerebrospinal fluid"	39772	41199	"Accruing"	"Continuous"	"mm3"	"Data"	"Derived"	"Unisex"	2	1	NA	"Volume of ventricular cerebrospinal fluid (from T1 brain image)"	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25004"	"Bulk brain-tissue measures"	"25004"	"25004"
25005	"ukb40531"	"UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI"	110	"Volume of grey matter (normalised for head size)"	39772	41199	"Accruing"	"Continuous"	"mm3"	"Data"	"Derived"	"Unisex"	2	1	NA	"Volume of grey matter (from T1 brain image, normalised for head size)"	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25005"	"Bulk brain-tissue measures"	"25005"	"25005"
25006	"ukb40531"	"UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI"	110	"Volume of grey matter"	39772	41199	"Accruing"	"Continuous"	"mm3"	"Data"	"Derived"	"Unisex"	2	1	NA	"Volume of grey matter (from T1 brain image)"	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25006"	"Bulk brain-tissue measures"	"25006"	"25006"
25007	"ukb40531"	"UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI"	110	"Volume of white matter (normalised for head size)"	39772	41199	"Accruing"	"Continuous"	"mm3"	"Data"	"Derived"	"Unisex"	2	1	NA	"Volume of white matter (from T1 brain image, normalised for head size)"	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25007"	"Bulk brain-tissue measures"	"25007"	"25007"
25008	"ukb40531"	"UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI"	110	"Volume of white matter"	39772	41199	"Accruing"	"Continuous"	"mm3"	"Data"	"Derived"	"Unisex"	2	1	NA	"Volume of white matter (from T1 brain image)"	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25008"	"Bulk brain-tissue measures"	"25008"	"25008"
25009	"ukb40531"	"UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI"	110	"Volume of brain, grey+white matter (normalised for head size)"	39772	41199	"Accruing"	"Continuous"	"mm3"	"Data"	"Derived"	"Unisex"	2	1	NA	"Volume of brain, grey+white, from T1 brain image, normalised for head size"	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25009"	"Bulk brain-tissue measures"	"25009"	"25009"
25010	"ukb40531"	"UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI"	110	"Volume of brain, grey+white matter"	39772	41199	"Accruing"	"Continuous"	"mm3"	"Data"	"Derived"	"Unisex"	2	1	NA	"Volume of brain, grey+white, from T1 brain image"	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25010"	"Bulk brain-tissue measures"	"25010"	"25010"
25011	"ukb40531"	"UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Subcortical volumes (FIRST)"	1102	"Volume of thalamus (left)"	39755	41182	"Accruing"	"Continuous"	"mm3"	"Data"	"Derived"	"Unisex"	2	1	NA	"Volume of left thalamus (from T1 brain image)"	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25011"	"Bulk brain-tissue measures"	"250112.0.lnr"	"250112.0.lnr"
25013	"ukb40531"	"UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Subcortical volumes (FIRST)"	1102	"Volume of caudate (left)"	39755	41182	"Accruing"	"Continuous"	"mm3"	"Data"	"Derived"	"Unisex"	2	1	NA	"Volume of left caudate (from T1 brain image)"	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25013"	"Bulk brain-tissue measures"	"250132.0.lnr"	"250132.0.lnr"
25015	"ukb40531"	"UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Subcortical volumes (FIRST)"	1102	"Volume of putamen (left)"	39755	41182	"Accruing"	"Continuous"	"mm3"	"Data"	"Derived"	"Unisex"	2	1	NA	"Volume of left putamen (from T1 brain image)"	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25015"	"Bulk brain-tissue measures"	"250152.0.lnr"	"250152.0.lnr"
25017	"ukb40531"	"UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Subcortical volumes (FIRST)"	1102	"Volume of pallidum (left)"	39755	41182	"Accruing"	"Continuous"	"mm3"	"Data"	"Derived"	"Unisex"	2	1	NA	"Volume of left pallidum (from T1 brain image)"	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25017"	"Bulk brain-tissue measures"	"250172.0.lnr"	"250172.0.lnr"
25019	"ukb40531"	"UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Subcortical volumes (FIRST)"	1102	"Volume of hippocampus (left)"	39755	41182	"Accruing"	"Continuous"	"mm3"	"Data"	"Derived"	"Unisex"	2	1	NA	"Volume of left hippocampus (from T1 brain image)"	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25019"	"Bulk brain-tissue measures"	"250192.0.lnr"	"250192.0.lnr"
25021	"ukb40531"	"UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Subcortical volumes (FIRST)"	1102	"Volume of amygdala (left)"	39755	41182	"Accruing"	"Continuous"	"mm3"	"Data"	"Derived"	"Unisex"	2	1	NA	"Volume of left amygdala (from T1 brain image)"	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25021"	"Bulk brain-tissue measures"	"250212.0.lnr"	"250212.0.lnr"
25023	"ukb40531"	"UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Subcortical volumes (FIRST)"	1102	"Volume of accumbens (left)"	39755	41182	"Accruing"	"Continuous"	"mm3"	"Data"	"Derived"	"Unisex"	2	1	NA	"Volume of left accumbens (from T1 brain image)"	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25023"	"Bulk brain-tissue measures"	"250232.0.lnr"	"250232.0.lnr"
25025	"ukb40531"	"UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI"	110	"Volume of brain stem + 4th ventricle"	39755	41182	"Accruing"	"Continuous"	"mm3"	"Data"	"Derived"	"Unisex"	2	1	NA	"Volume of brain stem + 4th ventricle (from T1 brain image)"	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25025"	"Bulk brain-tissue measures"	"25025"	"25025"
25040	"ukb40531"	"UK Biobank Assessment Centre > Imaging > Brain MRI > Task functional brain MRI"	106	"Median BOLD effect (in group-defined mask) for shapes activation"	32983	34277	"Accruing"	"Continuous"	"percent"	"Data"	"Derived"	"Unisex"	2	1	NA	"Median BOLD (blood-oxygen-level dependent) effect (in group-defined mask) for shapes activation (in task fMRI data)"	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25040"	"task fMRI"	"25040"	"25040"
25042	"ukb40531"	"UK Biobank Assessment Centre > Imaging > Brain MRI > Task functional brain MRI"	106	"Median z-statistic (in group-defined mask) for shapes activation"	32983	34277	"Accruing"	"Continuous"	"Z"	"Data"	"Derived"	"Unisex"	2	1	NA	"Median z-statistic (in group-defined mask) for shapes activation (in task fMRI data)"	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25042"	"task fMRI"	"25042"	"25042"
25044	"ukb40531"	"UK Biobank Assessment Centre > Imaging > Brain MRI > Task functional brain MRI"	106	"Median BOLD effect (in group-defined mask) for faces activation"	32983	34277	"Accruing"	"Continuous"	"percent"	"Data"	"Derived"	"Unisex"	2	1	NA	"Median BOLD (blood-oxygen-level dependent) effect (in group-defined mask) for faces activation (in task fMRI data)"	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25044"	"task fMRI"	"25044"	"25044"
25046	"ukb40531"	"UK Biobank Assessment Centre > Imaging > Brain MRI > Task functional brain MRI"	106	"Median z-statistic (in group-defined mask) for faces activation"	32983	34277	"Accruing"	"Continuous"	"Z"	"Data"	"Derived"	"Unisex"	2	1	NA	"Median z-statistic (in group-defined mask) for faces activation (in task fMRI data)"	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25046"	"task fMRI"	"25046"	"25046"
25048	"ukb40531"	"UK Biobank Assessment Centre > Imaging > Brain MRI > Task functional brain MRI"	106	"Median BOLD effect (in group-defined mask) for faces-shapes contrast"	32983	34277	"Accruing"	"Continuous"	"percent"	"Data"	"Derived"	"Unisex"	2	1	NA	"Median BOLD (blood-oxygen-level dependent) effect (in group-defined mask) for faces-shapes contrast (in task fMRI data)"	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25048"	"task fMRI"	"25048"	"25048"
25050	"ukb40531"	"UK Biobank Assessment Centre > Imaging > Brain MRI > Task functional brain MRI"	106	"Median z-statistic (in group-defined mask) for faces-shapes contrast"	32983	34277	"Accruing"	"Continuous"	"Z"	"Data"	"Derived"	"Unisex"	2	1	NA	"Median z-statistic (in group-defined mask) for faces-shapes contrast (in task fMRI data)"	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25050"	"task fMRI"	"25050"	"25050"
25052	"ukb40531"	"UK Biobank Assessment Centre > Imaging > Brain MRI > Task functional brain MRI"	106	"Median BOLD effect (in group-defined amygdala activation mask) for faces-shapes contrast"	32983	34277	"Accruing"	"Continuous"	"percent"	"Data"	"Derived"	"Unisex"	2	1	NA	"Median BOLD (blood-oxygen-level dependent) effect (in group-defined amygdala activation mask) for faces-shapes contrast (in task fMRI data)"	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25052"	"task fMRI"	"25052"	"25052"
25054	"ukb40531"	"UK Biobank Assessment Centre > Imaging > Brain MRI > Task functional brain MRI"	106	"Median z-statistic (in group-defined amygdala activation mask) for faces-shapes contrast"	32983	34277	"Accruing"	"Continuous"	"Z"	"Data"	"Derived"	"Unisex"	2	1	NA	"Median z-statistic (in group-defined amygdala activation mask) for faces-shapes contrast (in task fMRI data)"	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25054"	"task fMRI"	"25054"	"25054"
25056	"ukb40531"	"UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton"	134	"Mean FA in middle cerebellar peduncle on FA skeleton"	37519	38935	"Accruing"	"Continuous"	"AU"	"Data"	"Derived"	"Unisex"	2	1	NA	"Mean FA (fractional anisotropy) in middle cerebellar peduncle on FA skeleton (from dMRI data)"	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25056"	"White matter microstructure (TBSS)"	"25056"	"25056"
25057	"ukb40531"	"UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton"	134	"Mean FA in pontine crossing tract on FA skeleton"	37519	38935	"Accruing"	"Continuous"	"AU"	"Data"	"Derived"	"Unisex"	2	1	NA	"Mean FA (fractional anisotropy) in pontine crossing tract on FA skeleton (from dMRI data)"	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25057"	"White matter microstructure (TBSS)"	"25057"	"25057"
25058	"ukb40531"	"UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton"	134	"Mean FA in genu of corpus callosum on FA skeleton"	37519	38935	"Accruing"	"Continuous"	"AU"	"Data"	"Derived"	"Unisex"	2	1	NA	"Mean FA (fractional anisotropy) in genu of corpus callosum on FA skeleton (from dMRI data)"	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25058"	"White matter microstructure (TBSS)"	"25058"	"25058"
25059	"ukb40531"	"UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton"	134	"Mean FA in body of corpus callosum on FA skeleton"	37519	38935	"Accruing"	"Continuous"	"AU"	"Data"	"Derived"	"Unisex"	2	1	NA	"Mean FA (fractional anisotropy) in body of corpus callosum on FA skeleton (from dMRI data)"	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25059"	"White matter microstructure (TBSS)"	"25059"	"25059"
25060	"ukb40531"	"UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton"	134	"Mean FA in splenium of corpus callosum on FA skeleton"	37519	38935	"Accruing"	"Continuous"	"AU"	"Data"	"Derived"	"Unisex"	2	1	NA	"Mean FA (fractional anisotropy) in splenium of corpus callosum on FA skeleton (from dMRI data)"	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25060"	"White matter microstructure (TBSS)"	"25060"	"25060"
25061	"ukb40531"	"UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton"	134	"Mean FA in fornix on FA skeleton"	37519	38935	"Accruing"	"Continuous"	"AU"	"Data"	"Derived"	"Unisex"	2	1	NA	"Mean FA (fractional anisotropy) in fornix on FA skeleton (from dMRI data)"	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25061"	"White matter microstructure (TBSS)"	"25061"	"25061"
