cohort	release	study_name	study_description	data_type	ancestry	phenotype	N_cases	N_controls
qi6c	sr-qc	QIMR I610	QIMR Berghofer Medical Research Institute (QIMR) NC/IRPG (Twins and Spouses), SS1 (SSAGA1), TE (Twin89) and AX (Anxiety and Depression) I610	genotype	EUR	Clin	499	590
qio2	sr-qc	QIMR COEX	QIMR Berghofer Medical Research Institute (QIMR) NC/IRPG (Twins and Spouses), SS1 (SSAGA1), TE (Twin89) and AX (Anxiety and Depression) COEX	genotype	EUR	Clin	565	525
rad3	sr-qc	RADIANT-UK	RADIANT - United Kingdom	genotype	EUR	Clin	1857	1525
rage	sr-qc	RADIANT-GER	RADIANT - Germany	genotype	EUR	Clin	324	226
rai2	sr-qc	RADIANT-IRE	RADIANT - Ireland	genotype	EUR	Clin	109	340
rau2	sr-qc	RADIANT-US	RADIANT - United States	genotype	EUR	Clin	222	375
rde4	sr-qc2	RADIANT-DEN	RADIANT - Denmark	genotype	EUR	Clin	133	516
roc3	sr-qc	Roche	Roche (MARIGOLD and ARTDeCo)	genotype	EUR	Clin	273	92
rot4	sr-qc	Rotterdam	Rotterdam Study (Rotterdam)	genotype	EUR	Clin	240	1029
shp0	sr-qc	SHIP-LEGEND	Study of Health in Pomerania - Life-Events and Gene-Environment Interaction in Depression (SHIP-LEGEND)	genotype	EUR	Clin	365	1086
shpt	sr-qc	SHIP-TREND-0	Study of Health in Pomerania - TREND baseline cohort  (SHIP-TREND)	genotype	EUR	Clin	163	486
stm2	sr-qc	STAR*D	Sequenced Treatment Alternatives to Relieve Depression (STAR*D)	genotype	EUR	Clin	935	933
topmd	sa-qc2	TOP	TOP study (Tematisk omrade psykoser)	genotype	EUR	Clin	218	1141
trail	sa-qc2	TRAILS	TRAILS (Tracking Adolescents´ Individual Lives Survey)	genotype	EUR	Clin	200	1118
twg2	sr-qc	TwinGene	TwinGene	genotype	EUR	Clin	1097	2663
yapeu	sa-qc1	YAPE	Yale-Penn Study	genotype	EUR	Clin	318	1267
GenScot	SCID_0721a	GenScot	Generation Scotland: Scottish Family Health Study	sumstats	EUR	Clin	930	5730
lgic2	202011	iCBT	LifeGene.Karolinska Internet Psychiatry Depression (iCBT)	sumstats	EUR	Clin	906	4717
tkda1	run1	Takeda	Takeda vortioxetine cohort	sumstats	EUR	Clin	672	846
